trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,TOYAMSL,EQUITY,EQ,INE457P01020,0.67,0.68,0.63,0.63,0.65,2174611.0,1447922.59
2026-09-09,TOYAMSL,EQUITY,EQ,INE457P01020,0.64,0.65,0.63,0.65,0.62,326303.0,210152.97
2026-09-08,TOYAMSL,EQUITY,EQ,INE457P01020,0.62,0.64,0.61,0.62,0.61,594749.0,369576.98
2026-09-07,TOYAMSL,EQUITY,EQ,INE457P01020,0.62,0.62,0.61,0.61,0.61,251250.0,154354.64
2026-09-04,TOYAMSL,EQUITY,EQ,INE457P01020,0.62,0.62,0.6,0.61,0.61,129950.0,79902.35
2026-09-03,TOYAMSL,EQUITY,EQ,INE457P01020,0.64,0.64,0.61,0.61,0.63,278952.0,174676.48
2026-09-02,TOYAMSL,EQUITY,EQ,INE457P01020,0.64,0.64,0.62,0.63,0.62,284250.0,179905.03
2026-09-01,TOYAMSL,EQUITY,EQ,INE457P01020,0.64,0.64,0.62,0.62,0.63,238440.0,149761.91
2026-08-31,TOYAMSL,EQUITY,EQ,INE457P01020,0.64,0.64,0.62,0.63,0.63,176790.0,112249.2
2026-08-28,TOYAMSL,EQUITY,EQ,INE457P01020,0.63,0.64,0.61,0.63,0.62,621993.0,391477.24
2026-08-27,TOYAMSL,EQUITY,EQ,INE457P01020,0.65,0.65,0.62,0.62,0.64,322140.0,203809.79
2026-08-26,TOYAMSL,EQUITY,EQ,INE457P01020,0.65,0.65,0.62,0.64,0.64,336183.0,214714.65
2026-08-25,TOYAMSL,EQUITY,EQ,INE457P01020,0.64,0.66,0.61,0.64,0.64,525859.0,333604.01
2026-08-24,TOYAMSL,EQUITY,EQ,INE457P01020,0.66,0.66,0.63,0.64,0.65,523847.0,338225.21
2026-08-21,TOYAMSL,EQUITY,EQ,INE457P01020,0.67,0.67,0.65,0.65,0.66,344388.0,225479.24
2026-08-20,TOYAMSL,EQUITY,EQ,INE457P01020,0.68,0.68,0.65,0.66,0.66,381834.0,255068.83
2026-08-19,TOYAMSL,EQUITY,EQ,INE457P01020,0.69,0.69,0.65,0.66,0.67,285141.0,189705.06
2026-08-18,TOYAMSL,EQUITY,EQ,INE457P01020,0.69,0.69,0.66,0.67,0.67,417557.0,279966.15
2026-08-17,TOYAMSL,EQUITY,EQ,INE457P01020,0.65,0.68,0.65,0.67,0.68,129241.0,85989.56
