trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-06-18,TRANSWORLD,EQUITY,EQ,INE757B01015,185.15,186.58,176.4,179.84,184.25,34793.0,6304717.23
2026-06-17,TRANSWORLD,EQUITY,EQ,INE757B01015,192.0,193.44,183.04,184.25,191.14,30687.0,5777052.42
2026-06-16,TRANSWORLD,EQUITY,EQ,INE757B01015,173.3,196.49,173.01,191.14,175.09,188056.0,35783401.99
2026-06-15,TRANSWORLD,EQUITY,EQ,INE757B01015,161.16,177.98,161.16,175.09,161.16,104848.0,18232953.83
2026-06-12,TRANSWORLD,EQUITY,EQ,INE757B01015,158.5,163.8,158.0,161.16,157.54,12123.0,1950869.07
2026-06-11,TRANSWORLD,EQUITY,EQ,INE757B01015,165.0,166.3,155.2,157.54,165.72,18494.0,2959070.15
2026-06-10,TRANSWORLD,EQUITY,EQ,INE757B01015,167.0,169.99,164.33,165.72,166.96,7062.0,1182090.2
2026-06-09,TRANSWORLD,EQUITY,EQ,INE757B01015,163.96,167.89,161.8,166.96,163.29,16916.0,2794542.74
2026-06-08,TRANSWORLD,EQUITY,EQ,INE757B01015,162.4,165.85,161.19,163.29,163.79,23636.0,3875569.17
2026-06-05,TRANSWORLD,EQUITY,EQ,INE757B01015,162.4,170.0,159.98,163.79,161.05,25478.0,4229976.87
2026-06-04,TRANSWORLD,EQUITY,EQ,INE757B01015,160.95,163.11,160.0,161.05,161.21,13181.0,2131320.35
2026-06-03,TRANSWORLD,EQUITY,EQ,INE757B01015,163.3,165.56,158.0,161.21,164.65,18160.0,2956161.75
2026-06-02,TRANSWORLD,EQUITY,EQ,INE757B01015,164.85,171.7,161.35,164.65,164.42,18114.0,3017350.17
2026-06-01,TRANSWORLD,EQUITY,EQ,INE757B01015,161.0,166.43,161.0,164.42,161.53,35597.0,5868335.33
2026-05-29,TRANSWORLD,EQUITY,EQ,INE757B01015,164.56,165.05,160.0,161.53,163.55,22526.0,3655690.65
2026-05-27,TRANSWORLD,EQUITY,EQ,INE757B01015,162.0,165.58,158.1,163.55,162.0,42647.0,6901557.59
2026-05-26,TRANSWORLD,EQUITY,EQ,INE757B01015,163.0,166.6,159.2,162.0,161.42,18122.0,2943287.35
2026-05-25,TRANSWORLD,EQUITY,EQ,INE757B01015,163.35,169.81,157.07,161.42,162.1,36312.0,5924921.52
2026-05-22,TRANSWORLD,EQUITY,EQ,INE757B01015,154.91,163.0,154.91,162.1,154.91,37596.0,5972955.83
2026-05-21,TRANSWORLD,EQUITY,EQ,INE757B01015,157.0,160.7,154.07,154.91,155.89,20396.0,3195425.39
2026-05-20,TRANSWORLD,EQUITY,EQ,INE757B01015,164.99,164.99,153.12,155.89,167.48,66993.0,10485651.13
2026-05-19,TRANSWORLD,EQUITY,EQ,INE757B01015,165.0,178.48,163.0,167.48,164.74,61188.0,10417964.52
2026-05-18,TRANSWORLD,EQUITY,EQ,INE757B01015,157.99,167.71,149.7,164.74,150.51,38976.0,6234713.96
2026-05-15,TRANSWORLD,EQUITY,EQ,INE757B01015,152.05,157.05,148.85,150.51,151.93,32568.0,4975515.84
2026-05-14,TRANSWORLD,EQUITY,EQ,INE757B01015,155.0,158.0,149.19,151.93,154.66,8949.0,1381804.43
2026-05-13,TRANSWORLD,EQUITY,EQ,INE757B01015,155.1,160.27,151.5,154.66,157.59,15333.0,2408564.74
2026-05-12,TRANSWORLD,EQUITY,EQ,INE757B01015,166.78,168.0,154.0,157.59,166.59,24729.0,3935756.84
2026-05-11,TRANSWORLD,EQUITY,EQ,INE757B01015,166.0,169.62,164.0,166.59,167.8,21121.0,3521435.29
2026-05-08,TRANSWORLD,EQUITY,EQ,INE757B01015,168.13,169.5,167.0,167.8,168.4,10241.0,1721179.62
2026-05-07,TRANSWORLD,EQUITY,EQ,INE757B01015,168.6,169.79,166.02,168.4,167.02,42396.0,7121495.1
2026-05-06,TRANSWORLD,EQUITY,EQ,INE757B01015,171.0,173.99,165.43,167.02,169.03,31637.0,5334873.78
2026-05-05,TRANSWORLD,EQUITY,EQ,INE757B01015,168.39,171.49,166.65,169.03,168.66,11773.0,1990323.71
2026-05-04,TRANSWORLD,EQUITY,EQ,INE757B01015,172.02,178.48,164.9,168.66,164.9,95519.0,16361919.13
2026-04-30,TRANSWORLD,EQUITY,EQ,INE757B01015,164.3,167.65,159.06,164.9,164.81,12262.0,2003169.93
2026-04-29,TRANSWORLD,EQUITY,EQ,INE757B01015,168.41,171.7,163.48,164.81,167.61,23569.0,3927192.18
2026-04-28,TRANSWORLD,EQUITY,EQ,INE757B01015,177.73,178.0,166.0,167.61,176.07,27223.0,4633471.98
2026-04-27,TRANSWORLD,EQUITY,EQ,INE757B01015,172.01,178.48,172.01,176.07,172.01,10251.0,1805086.64
2026-04-24,TRANSWORLD,EQUITY,EQ,INE757B01015,176.63,180.29,165.97,172.01,175.75,20893.0,3588761.16
2026-04-23,TRANSWORLD,EQUITY,EQ,INE757B01015,181.9,182.49,173.26,175.75,179.24,40173.0,7197289.59
2026-04-22,TRANSWORLD,EQUITY,EQ,INE757B01015,170.0,185.0,168.5,179.24,168.32,37447.0,6609236.47
2026-04-21,TRANSWORLD,EQUITY,EQ,INE757B01015,169.99,174.0,165.66,168.32,168.87,23892.0,4027050.01
2026-04-20,TRANSWORLD,EQUITY,EQ,INE757B01015,160.0,178.0,160.0,168.87,158.92,162002.0,27582576.19
2026-04-17,TRANSWORLD,EQUITY,EQ,INE757B01015,158.95,166.99,156.15,158.92,154.71,56170.0,9041489.14
2026-04-16,TRANSWORLD,EQUITY,EQ,INE757B01015,159.0,160.99,150.0,154.71,156.05,35722.0,5558192.1
2026-04-15,TRANSWORLD,EQUITY,EQ,INE757B01015,145.11,159.19,145.11,156.05,143.73,68279.0,10502390.24
2026-04-13,TRANSWORLD,EQUITY,EQ,INE757B01015,143.0,150.35,140.25,143.73,142.4,28404.0,4120868.27
2026-04-10,TRANSWORLD,EQUITY,EQ,INE757B01015,140.63,143.99,140.62,142.4,140.63,11221.0,1599233.65
2026-04-09,TRANSWORLD,EQUITY,EQ,INE757B01015,143.0,144.99,139.21,140.63,141.9,17295.0,2446142.26
2026-04-08,TRANSWORLD,EQUITY,EQ,INE757B01015,147.94,147.94,137.11,141.9,136.38,22549.0,3191840.8
2026-04-07,TRANSWORLD,EQUITY,EQ,INE757B01015,134.92,137.41,132.0,136.38,134.92,11690.0,1587285.15
2026-04-06,TRANSWORLD,EQUITY,EQ,INE757B01015,133.74,135.95,130.51,134.92,132.74,27542.0,3685116.42
2026-04-02,TRANSWORLD,EQUITY,EQ,INE757B01015,128.26,132.95,126.68,132.74,132.24,26109.0,3396822.61
