trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,TRF,EQUITY,EQ,INE391D01019,229.4,232.0,218.35,220.8,228.79,27500.0,6152031.66
2026-09-09,TRF,EQUITY,EQ,INE391D01019,231.21,232.39,227.0,228.79,230.98,3357.0,771553.5
2026-09-08,TRF,EQUITY,EQ,INE391D01019,238.0,238.0,230.42,230.98,235.13,6386.0,1480375.26
2026-09-07,TRF,EQUITY,EQ,INE391D01019,231.7,235.99,230.0,235.13,231.59,14703.0,3442955.36
2026-09-04,TRF,EQUITY,EQ,INE391D01019,231.9,232.0,229.13,231.59,230.03,4712.0,1085177.47
2026-09-03,TRF,EQUITY,EQ,INE391D01019,225.9,231.98,223.01,230.03,223.64,11947.0,2706273.35
2026-09-02,TRF,EQUITY,EQ,INE391D01019,226.04,226.04,222.0,223.64,224.18,3808.0,850865.31
2026-09-01,TRF,EQUITY,EQ,INE391D01019,227.56,227.56,221.23,224.18,227.55,10501.0,2359688.9
2026-08-31,TRF,EQUITY,EQ,INE391D01019,229.6,230.79,226.14,227.55,229.48,7573.0,1728891.38
2026-08-28,TRF,EQUITY,EQ,INE391D01019,230.83,231.67,228.0,229.48,229.22,4996.0,1150638.17
2026-08-27,TRF,EQUITY,EQ,INE391D01019,231.66,231.99,229.0,229.22,229.94,4991.0,1145347.59
2026-08-26,TRF,EQUITY,EQ,INE391D01019,230.63,232.98,229.76,229.94,231.7,5042.0,1160672.6
2026-08-25,TRF,EQUITY,EQ,INE391D01019,233.75,233.75,228.7,231.7,229.99,7664.0,1762925.25
2026-08-24,TRF,EQUITY,EQ,INE391D01019,230.41,230.96,226.81,229.99,230.41,11985.0,2749178.86
2026-08-21,TRF,EQUITY,EQ,INE391D01019,231.42,232.39,229.5,230.41,231.15,7070.0,1628405.49
2026-08-20,TRF,EQUITY,EQ,INE391D01019,229.19,233.0,229.14,231.15,229.05,8528.0,1969364.05
2026-08-19,TRF,EQUITY,EQ,INE391D01019,233.27,233.27,228.18,229.05,231.11,7645.0,1757278.71
2026-08-18,TRF,EQUITY,EQ,INE391D01019,230.58,233.27,228.01,231.11,230.57,11809.0,2723786.6
2026-08-17,TRF,EQUITY,EQ,INE391D01019,229.0,232.78,226.5,230.57,230.71,8926.0,2050800.66
2026-08-14,TRF,EQUITY,EQ,INE391D01019,232.19,234.49,229.55,230.71,232.19,13964.0,3224086.01
2026-08-13,TRF,EQUITY,EQ,INE391D01019,231.47,233.83,230.02,232.19,230.15,8954.0,2074020.31
2026-08-12,TRF,EQUITY,EQ,INE391D01019,236.54,236.54,228.17,230.15,235.52,21695.0,5018821.64
2026-08-11,TRF,EQUITY,EQ,INE391D01019,234.55,237.5,231.73,235.52,234.55,8421.0,1978638.54
2026-08-10,TRF,EQUITY,EQ,INE391D01019,233.42,237.82,232.87,234.55,232.79,24396.0,5739822.43
2026-08-07,TRF,EQUITY,EQ,INE391D01019,233.74,235.74,231.01,232.79,232.41,39350.0,9157383.34
2026-08-06,TRF,EQUITY,EQ,INE391D01019,230.5,235.38,228.01,232.41,229.38,36738.0,8561419.31
2026-08-05,TRF,EQUITY,EQ,INE391D01019,228.44,230.61,227.51,229.38,228.44,12925.0,2965954.57
2026-08-04,TRF,EQUITY,EQ,INE391D01019,229.31,230.7,225.55,228.44,228.56,37292.0,8493646.35
2026-08-03,TRF,EQUITY,EQ,INE391D01019,226.0,233.99,226.0,228.56,225.93,86597.0,19888376.24
2026-07-31,TRF,EQUITY,EQ,INE391D01019,231.95,231.95,224.49,225.93,225.5,30901.0,7028714.48
