trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,TTKPRESTIG,EQUITY,EQ,INE690A01028,540.2,540.2,527.45,537.3,540.2,39518.0,21140637.45
2026-09-10,TTKPRESTIG,EQUITY,EQ,INE690A01028,545.0,547.55,536.6,540.2,541.35,31877.0,17278771.1
2026-09-09,TTKPRESTIG,EQUITY,EQ,INE690A01028,549.0,554.5,540.25,541.35,549.2,60712.0,33081761.45
2026-09-08,TTKPRESTIG,EQUITY,EQ,INE690A01028,550.0,561.3,545.0,549.2,548.0,162558.0,89926437.3
2026-09-07,TTKPRESTIG,EQUITY,EQ,INE690A01028,562.8,567.0,545.0,548.0,562.75,66655.0,36857748.65
2026-09-04,TTKPRESTIG,EQUITY,EQ,INE690A01028,582.05,586.65,560.3,562.75,583.95,90200.0,51336550.4
2026-09-03,TTKPRESTIG,EQUITY,EQ,INE690A01028,593.0,593.0,579.7,583.95,586.25,39625.0,23106013.25
2026-09-02,TTKPRESTIG,EQUITY,EQ,INE690A01028,579.7,593.95,571.95,586.25,579.75,41248.0,23923440.3
2026-09-01,TTKPRESTIG,EQUITY,EQ,INE690A01028,583.8,587.0,575.0,579.75,583.8,27738.0,16147610.05
2026-08-31,TTKPRESTIG,EQUITY,EQ,INE690A01028,594.0,594.45,581.0,583.8,593.7,73699.0,43113104.7
2026-08-28,TTKPRESTIG,EQUITY,EQ,INE690A01028,606.9,610.95,592.0,593.7,606.9,31260.0,18656397.65
2026-08-27,TTKPRESTIG,EQUITY,EQ,INE690A01028,614.4,614.4,603.85,606.9,610.15,42507.0,25823585.8
2026-08-26,TTKPRESTIG,EQUITY,EQ,INE690A01028,601.45,614.7,593.5,610.15,595.55,92498.0,56311391.85
2026-08-25,TTKPRESTIG,EQUITY,EQ,INE690A01028,587.9,597.95,583.55,595.55,587.9,61858.0,36695569.6
2026-08-24,TTKPRESTIG,EQUITY,EQ,INE690A01028,591.65,594.75,581.5,587.9,591.65,61978.0,36308162.65
2026-08-21,TTKPRESTIG,EQUITY,EQ,INE690A01028,598.4,598.4,585.0,591.65,592.65,87636.0,51787994.65
2026-08-20,TTKPRESTIG,EQUITY,EQ,INE690A01028,585.1,597.85,582.65,592.65,585.1,54789.0,32496817.05
2026-08-19,TTKPRESTIG,EQUITY,EQ,INE690A01028,591.25,599.0,579.6,585.1,594.6,65670.0,38437073.35
2026-08-18,TTKPRESTIG,EQUITY,EQ,INE690A01028,590.05,599.0,589.05,594.6,592.1,32667.0,19374379.55
2026-08-17,TTKPRESTIG,EQUITY,EQ,INE690A01028,595.0,598.9,588.35,592.1,595.9,34550.0,20449250.5
2026-08-14,TTKPRESTIG,EQUITY,EQ,INE690A01028,595.5,603.7,594.0,595.9,600.95,31039.0,18582320.95
2026-08-13,TTKPRESTIG,EQUITY,EQ,INE690A01028,587.05,604.0,584.2,600.95,586.3,116354.0,69267428.4
2026-08-12,TTKPRESTIG,EQUITY,EQ,INE690A01028,590.0,599.15,581.2,586.3,589.95,51692.0,30441517.95
2026-08-11,TTKPRESTIG,EQUITY,EQ,INE690A01028,607.0,613.1,586.2,589.95,605.6,92790.0,55224520.4
2026-08-10,TTKPRESTIG,EQUITY,EQ,INE690A01028,619.9,620.85,602.6,605.6,615.95,99020.0,60169913.1
2026-08-07,TTKPRESTIG,EQUITY,EQ,INE690A01028,636.8,638.85,611.1,615.95,636.8,73246.0,45774829.6
2026-08-06,TTKPRESTIG,EQUITY,EQ,INE690A01028,631.0,640.85,624.1,636.8,628.25,105175.0,66594826.1
2026-08-05,TTKPRESTIG,EQUITY,EQ,INE690A01028,630.1,637.2,617.15,628.25,630.8,209287.0,131229603.55
2026-08-04,TTKPRESTIG,EQUITY,EQ,INE690A01028,650.05,656.7,620.0,630.8,644.3,111401.0,70749798.0
2026-08-03,TTKPRESTIG,EQUITY,EQ,INE690A01028,648.0,653.75,636.2,644.3,641.6,82001.0,53032776.1
2026-07-31,TTKPRESTIG,EQUITY,EQ,INE690A01028,666.0,666.1,640.0,641.6,656.6,145094.0,93975967.35
2026-07-30,TTKPRESTIG,EQUITY,EQ,INE690A01028,676.95,676.95,651.35,656.6,677.15,258216.0,171750737.6
2026-07-29,TTKPRESTIG,EQUITY,EQ,INE690A01028,693.75,704.2,673.55,677.15,702.25,1709371.0,1177123949.25
2026-07-28,TTKPRESTIG,EQUITY,EQ,INE690A01028,656.0,742.9,644.2,702.25,655.35,11906234.0,8510065675.1
2026-07-27,TTKPRESTIG,EQUITY,EQ,INE690A01028,640.1,664.8,640.0,655.35,643.35,67198.0,44102103.75
2026-07-24,TTKPRESTIG,EQUITY,EQ,INE690A01028,648.0,650.0,631.0,643.35,645.75,30308.0,19434279.25
2026-07-23,TTKPRESTIG,EQUITY,EQ,INE690A01028,658.0,659.65,643.45,645.75,657.1,36952.0,23954349.0
2026-07-22,TTKPRESTIG,EQUITY,EQ,INE690A01028,658.05,660.9,649.6,657.1,656.15,34981.0,22941894.35
2026-07-21,TTKPRESTIG,EQUITY,EQ,INE690A01028,661.8,669.4,654.0,656.15,665.45,52028.0,34305051.1
2026-07-20,TTKPRESTIG,EQUITY,EQ,INE690A01028,679.0,679.95,663.1,665.45,672.5,45294.0,30462572.65
2026-07-17,TTKPRESTIG,EQUITY,EQ,INE690A01028,680.0,686.0,670.0,672.5,677.7,62126.0,41922524.5
