trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,TVSHLTD,EQUITY,EQ,INE105A01035,13743.0,13743.0,13300.0,13377.0,13748.0,7053.0,94498383.0
2026-09-07,TVSHLTD,EQUITY,EQ,INE105A01035,13774.0,14170.0,13601.0,13748.0,13374.0,26789.0,371151476.0
2026-09-04,TVSHLTD,EQUITY,EQ,INE105A01035,13140.0,13499.0,13140.0,13374.0,13156.0,7881.0,105422727.0
2026-09-03,TVSHLTD,EQUITY,EQ,INE105A01035,13150.0,13200.0,13052.0,13156.0,13045.0,2091.0,27472874.0
2026-09-02,TVSHLTD,EQUITY,EQ,INE105A01035,13258.0,13258.0,12931.0,13045.0,13258.0,5389.0,70241811.0
2026-09-01,TVSHLTD,EQUITY,EQ,INE105A01035,13340.0,13340.0,13101.0,13258.0,13233.0,4052.0,53638131.0
2026-08-31,TVSHLTD,EQUITY,EQ,INE105A01035,13580.0,13580.0,13113.0,13233.0,13450.0,7306.0,97306618.0
2026-08-28,TVSHLTD,EQUITY,EQ,INE105A01035,13435.0,13587.0,13361.0,13450.0,13434.0,3931.0,52896723.0
2026-08-27,TVSHLTD,EQUITY,EQ,INE105A01035,13546.0,13619.0,13276.0,13434.0,13542.0,7150.0,95672098.0
2026-08-26,TVSHLTD,EQUITY,EQ,INE105A01035,13500.0,13650.0,13500.0,13542.0,13567.0,2610.0,35400755.0
2026-08-25,TVSHLTD,EQUITY,EQ,INE105A01035,13707.0,13709.0,13505.0,13567.0,13707.0,3397.0,46168404.0
2026-08-24,TVSHLTD,EQUITY,EQ,INE105A01035,13851.0,13959.0,13682.0,13707.0,13899.0,3674.0,50653101.0
2026-08-21,TVSHLTD,EQUITY,EQ,INE105A01035,13970.0,14052.0,13875.0,13899.0,13968.0,2117.0,29515798.0
2026-08-20,TVSHLTD,EQUITY,EQ,INE105A01035,14055.0,14143.0,13910.0,13968.0,13946.0,3459.0,48518087.0
2026-08-19,TVSHLTD,EQUITY,EQ,INE105A01035,14097.0,14097.0,13888.0,13946.0,14096.0,3985.0,55545365.0
2026-08-18,TVSHLTD,EQUITY,EQ,INE105A01035,14136.0,14201.0,13870.0,14096.0,14072.0,3210.0,45102485.0
2026-08-17,TVSHLTD,EQUITY,EQ,INE105A01035,13994.0,14135.0,13876.0,14072.0,13994.0,2980.0,41731153.0
2026-08-14,TVSHLTD,EQUITY,EQ,INE105A01035,14429.0,14430.0,13925.0,13994.0,14317.0,5164.0,72812550.0
2026-08-13,TVSHLTD,EQUITY,EQ,INE105A01035,14649.0,14649.0,14262.0,14317.0,14532.0,4674.0,67250335.0
2026-08-12,TVSHLTD,EQUITY,EQ,INE105A01035,14607.0,14775.0,14500.0,14532.0,14607.0,3030.0,44374339.0
2026-08-11,TVSHLTD,EQUITY,EQ,INE105A01035,14635.0,14800.0,14512.0,14607.0,14640.0,3999.0,58676720.0
2026-08-10,TVSHLTD,EQUITY,EQ,INE105A01035,14901.0,14985.0,14230.0,14640.0,14848.0,10754.0,158388815.0
2026-08-07,TVSHLTD,EQUITY,EQ,INE105A01035,15042.0,15070.0,14752.0,14848.0,14908.0,3024.0,45145708.0
2026-08-06,TVSHLTD,EQUITY,EQ,INE105A01035,14770.0,15067.0,14770.0,14908.0,14769.0,4451.0,66376852.0
2026-08-05,TVSHLTD,EQUITY,EQ,INE105A01035,14842.0,15064.0,14750.0,14769.0,14790.0,7798.0,115841955.0
2026-08-04,TVSHLTD,EQUITY,EQ,INE105A01035,14985.0,14985.0,14751.0,14790.0,14836.0,2212.0,32791831.0
2026-08-03,TVSHLTD,EQUITY,EQ,INE105A01035,14800.0,14950.0,14800.0,14836.0,14713.0,2983.0,44302965.0
2026-07-31,TVSHLTD,EQUITY,EQ,INE105A01035,14989.0,15231.0,14652.0,14713.0,14987.0,10940.0,162685320.0
2026-07-30,TVSHLTD,EQUITY,EQ,INE105A01035,14878.0,15154.0,14752.0,14987.0,14803.0,20821.0,312772406.0
2026-07-29,TVSHLTD,EQUITY,EQ,INE105A01035,14890.0,15022.0,14657.0,14803.0,14754.0,4722.0,69953949.0
2026-07-28,TVSHLTD,EQUITY,EQ,INE105A01035,14751.0,14939.0,14653.0,14754.0,14694.0,5737.0,84831186.0
2026-07-27,TVSHLTD,EQUITY,EQ,INE105A01035,14641.0,14880.0,14641.0,14694.0,14633.0,6708.0,98931696.0
2026-07-24,TVSHLTD,EQUITY,EQ,INE105A01035,14810.0,14810.0,14430.0,14633.0,14807.0,7356.0,107432859.0
2026-07-23,TVSHLTD,EQUITY,EQ,INE105A01035,14800.0,14980.0,14648.0,14807.0,14847.0,11137.0,165192732.0
2026-07-22,TVSHLTD,EQUITY,EQ,INE105A01035,15099.0,15700.0,14620.0,14847.0,14236.0,93079.0,1391810798.0
2026-07-21,TVSHLTD,EQUITY,EQ,INE105A01035,14031.0,14420.0,13901.0,14236.0,14031.0,21379.0,301931112.0
2026-07-20,TVSHLTD,EQUITY,EQ,INE105A01035,13980.0,14086.0,13835.0,14031.0,13942.0,3160.0,44146297.0
2026-07-17,TVSHLTD,EQUITY,EQ,INE105A01035,14014.0,14014.0,13750.0,13942.0,14013.0,6037.0,83976625.0
2026-07-16,TVSHLTD,EQUITY,EQ,INE105A01035,14275.0,14850.0,14000.0,14013.0,14000.0,13353.0,191947445.0
2026-07-15,TVSHLTD,EQUITY,EQ,INE105A01035,14003.0,14279.0,13940.0,14000.0,14060.0,16077.0,226175481.0
2026-07-14,TVSHLTD,EQUITY,EQ,INE105A01035,14040.0,14203.0,14001.0,14060.0,14210.0,1792.0,25190914.0
2026-07-13,TVSHLTD,EQUITY,EQ,INE105A01035,14000.0,14395.0,13899.0,14210.0,14016.0,10484.0,149274074.0
2026-07-10,TVSHLTD,EQUITY,EQ,INE105A01035,13989.0,14166.0,13962.0,14016.0,13954.0,2317.0,32593244.0
2026-07-09,TVSHLTD,EQUITY,EQ,INE105A01035,13972.0,14129.0,13801.0,13954.0,13972.0,2195.0,30757558.0
2026-07-08,TVSHLTD,EQUITY,EQ,INE105A01035,14145.0,14235.0,13869.0,13972.0,14193.0,2055.0,28895523.0
2026-07-07,TVSHLTD,EQUITY,EQ,INE105A01035,14421.0,14421.0,14125.0,14193.0,14345.0,2256.0,32138711.0
2026-07-06,TVSHLTD,EQUITY,EQ,INE105A01035,14079.0,14400.0,13962.0,14345.0,14085.0,3059.0,43619381.0
2026-07-03,TVSHLTD,EQUITY,EQ,INE105A01035,14141.0,14350.0,14045.0,14085.0,14178.0,1630.0,23077715.0
2026-07-02,TVSHLTD,EQUITY,EQ,INE105A01035,13855.0,14278.0,13771.0,14178.0,13748.0,6712.0,94781044.0
2026-07-01,TVSHLTD,EQUITY,EQ,INE105A01035,13655.0,13983.0,13654.0,13748.0,13678.0,3411.0,47216928.0
2026-06-30,TVSHLTD,EQUITY,EQ,INE105A01035,13420.0,13750.0,13420.0,13678.0,13454.0,3728.0,50701112.0
2026-06-29,TVSHLTD,EQUITY,EQ,INE105A01035,13614.0,13614.0,13410.0,13454.0,13518.0,3130.0,42258124.0
2026-06-25,TVSHLTD,EQUITY,EQ,INE105A01035,13469.0,13775.0,13379.0,13518.0,13363.0,4037.0,54780931.0
2026-06-24,TVSHLTD,EQUITY,EQ,INE105A01035,13419.0,13419.0,13192.0,13363.0,13301.0,2608.0,34727999.0
2026-06-23,TVSHLTD,EQUITY,EQ,INE105A01035,13688.0,13755.0,13255.0,13301.0,13690.0,4841.0,64995546.0
2026-06-22,TVSHLTD,EQUITY,EQ,INE105A01035,13155.0,13737.0,13155.0,13690.0,13132.0,6795.0,92196750.0
2026-06-19,TVSHLTD,EQUITY,EQ,INE105A01035,13280.0,13280.0,13043.0,13132.0,13287.0,28471.0,374022706.0
2026-06-18,TVSHLTD,EQUITY,EQ,INE105A01035,13358.0,13379.0,13237.0,13287.0,13358.0,2095.0,27815693.0
2026-06-17,TVSHLTD,EQUITY,EQ,INE105A01035,13367.0,13439.0,13279.0,13358.0,13424.0,1758.0,23458761.0
2026-06-16,TVSHLTD,EQUITY,EQ,INE105A01035,13611.0,13665.0,13302.0,13424.0,13523.0,2565.0,34467856.0
2026-06-15,TVSHLTD,EQUITY,EQ,INE105A01035,13364.0,13610.0,13364.0,13523.0,13310.0,1994.0,26948248.0
2026-06-12,TVSHLTD,EQUITY,EQ,INE105A01035,13339.0,13400.0,13216.0,13310.0,13315.0,2211.0,29448277.0
2026-06-11,TVSHLTD,EQUITY,EQ,INE105A01035,13401.0,13479.0,13251.0,13315.0,13500.0,2005.0,26725089.0
2026-06-10,TVSHLTD,EQUITY,EQ,INE105A01035,13530.0,13598.0,13322.0,13500.0,13565.0,2163.0,29117032.0
2026-06-09,TVSHLTD,EQUITY,EQ,INE105A01035,13423.0,13686.0,13277.0,13565.0,13356.0,1932.0,25931741.0
2026-06-08,TVSHLTD,EQUITY,EQ,INE105A01035,13583.0,13620.0,13181.0,13356.0,13583.0,4342.0,57741486.0
2026-06-05,TVSHLTD,EQUITY,EQ,INE105A01035,13500.0,13690.0,13450.0,13583.0,13476.0,2465.0,33473190.0
2026-06-04,TVSHLTD,EQUITY,EQ,INE105A01035,13425.0,13650.0,13388.0,13476.0,13530.0,1488.0,20119889.0
2026-06-03,TVSHLTD,EQUITY,EQ,INE105A01035,13400.0,13600.0,13360.0,13530.0,13549.0,1739.0,23472190.0
2026-06-02,TVSHLTD,EQUITY,EQ,INE105A01035,13420.0,13611.0,13161.0,13549.0,13406.0,2243.0,30142976.0
2026-06-01,TVSHLTD,EQUITY,EQ,INE105A01035,13556.0,13650.0,13160.0,13406.0,13556.0,6944.0,92647922.0
2026-05-29,TVSHLTD,EQUITY,EQ,INE105A01035,13602.0,13633.0,13456.0,13556.0,13483.0,3274.0,44405246.0
2026-05-27,TVSHLTD,EQUITY,EQ,INE105A01035,13649.0,13660.0,13401.0,13483.0,13554.0,1889.0,25521720.0
2026-05-26,TVSHLTD,EQUITY,EQ,INE105A01035,13599.0,13625.0,13431.0,13554.0,13550.0,1951.0,26391598.0
