trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,TVSSCS,EQUITY,EQ,INE395N01027,128.1,128.68,126.75,127.23,129.05,365615.0,46633476.05
2026-09-07,TVSSCS,EQUITY,EQ,INE395N01027,130.95,132.99,127.84,129.05,130.41,429219.0,55489997.56
2026-09-04,TVSSCS,EQUITY,EQ,INE395N01027,129.6,132.53,126.96,130.41,129.53,926210.0,120313116.54
2026-09-03,TVSSCS,EQUITY,EQ,INE395N01027,124.99,130.7,124.99,129.53,124.39,1073908.0,137566858.62
2026-09-02,TVSSCS,EQUITY,EQ,INE395N01027,125.0,125.45,122.51,124.39,124.99,466646.0,57920185.07
2026-09-01,TVSSCS,EQUITY,EQ,INE395N01027,127.63,128.45,124.3,124.99,127.09,722014.0,91078815.81
2026-08-31,TVSSCS,EQUITY,EQ,INE395N01027,130.75,131.1,126.67,127.09,131.56,493756.0,63249911.24
2026-08-28,TVSSCS,EQUITY,EQ,INE395N01027,131.09,133.66,130.3,131.56,130.79,884652.0,116656122.7
2026-08-27,TVSSCS,EQUITY,EQ,INE395N01027,132.78,132.82,129.5,130.79,132.16,721741.0,94571454.38
2026-08-26,TVSSCS,EQUITY,EQ,INE395N01027,136.5,137.39,130.9,132.16,135.14,1858038.0,246734716.9
2026-08-25,TVSSCS,EQUITY,EQ,INE395N01027,133.44,138.99,131.53,135.14,132.99,10446289.0,1412862814.84
2026-08-24,TVSSCS,EQUITY,EQ,INE395N01027,121.85,141.0,120.9,132.99,121.44,40350034.0,5462560510.44
2026-08-21,TVSSCS,EQUITY,EQ,INE395N01027,123.1,124.2,121.2,121.44,123.33,210508.0,25766583.68
2026-08-20,TVSSCS,EQUITY,EQ,INE395N01027,121.14,124.52,121.0,123.33,120.84,382985.0,47253432.26
2026-08-19,TVSSCS,EQUITY,EQ,INE395N01027,122.77,122.84,120.4,120.84,122.17,352752.0,42907612.69
2026-08-18,TVSSCS,EQUITY,EQ,INE395N01027,122.4,123.48,121.25,122.17,121.48,278268.0,34073151.27
2026-08-17,TVSSCS,EQUITY,EQ,INE395N01027,123.5,124.24,120.4,121.48,123.39,575748.0,70113480.86
2026-08-14,TVSSCS,EQUITY,EQ,INE395N01027,127.11,128.15,122.91,123.39,127.54,704554.0,87784284.79
2026-08-13,TVSSCS,EQUITY,EQ,INE395N01027,129.15,130.31,127.0,127.54,129.03,486632.0,62494780.49
2026-08-12,TVSSCS,EQUITY,EQ,INE395N01027,126.95,137.0,126.74,129.03,126.11,3139526.0,414741474.83
2026-08-11,TVSSCS,EQUITY,EQ,INE395N01027,132.5,132.5,123.45,126.11,128.42,1312533.0,166035996.57
2026-08-10,TVSSCS,EQUITY,EQ,INE395N01027,135.5,135.5,128.0,128.42,133.79,664256.0,86709921.91
2026-08-07,TVSSCS,EQUITY,EQ,INE395N01027,134.0,134.96,132.65,133.79,132.38,214689.0,28665861.85
2026-08-06,TVSSCS,EQUITY,EQ,INE395N01027,135.52,136.8,132.0,132.38,135.52,417724.0,55572842.83
2026-08-05,TVSSCS,EQUITY,EQ,INE395N01027,137.0,137.0,135.0,135.52,135.54,224593.0,30530226.98
2026-08-04,TVSSCS,EQUITY,EQ,INE395N01027,135.9,139.6,135.0,135.54,136.9,473681.0,65060574.14
2026-08-03,TVSSCS,EQUITY,EQ,INE395N01027,136.5,139.18,136.11,136.9,135.11,296279.0,40819220.16
2026-07-31,TVSSCS,EQUITY,EQ,INE395N01027,135.21,137.28,134.82,135.11,135.65,172326.0,23404671.34
2026-07-30,TVSSCS,EQUITY,EQ,INE395N01027,137.85,137.85,135.2,135.65,137.15,179716.0,24463205.14
2026-07-29,TVSSCS,EQUITY,EQ,INE395N01027,135.0,137.4,135.0,137.15,135.6,160174.0,21893566.72
2026-07-28,TVSSCS,EQUITY,EQ,INE395N01027,137.24,137.68,135.3,135.6,136.62,171624.0,23381738.04
2026-07-27,TVSSCS,EQUITY,EQ,INE395N01027,133.49,137.0,133.49,136.62,133.13,215529.0,29310669.97
