trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,UNIENTER,EQUITY,EQ,INE037A01022,93.9,95.45,93.26,93.55,92.85,7826.0,732291.52
2026-09-07,UNIENTER,EQUITY,EQ,INE037A01022,92.0,95.5,92.0,92.85,93.19,4658.0,432803.65
2026-09-04,UNIENTER,EQUITY,EQ,INE037A01022,96.0,96.0,93.0,93.19,94.06,6732.0,631623.98
2026-09-03,UNIENTER,EQUITY,EQ,INE037A01022,96.68,96.68,93.25,94.06,93.74,1277.0,120796.53
2026-09-02,UNIENTER,EQUITY,EQ,INE037A01022,95.86,95.86,93.2,93.74,95.39,2151.0,202638.53
2026-09-01,UNIENTER,EQUITY,EQ,INE037A01022,94.0,95.97,93.27,95.39,93.51,3832.0,361089.81
2026-08-31,UNIENTER,EQUITY,EQ,INE037A01022,95.89,96.7,92.7,93.51,94.1,15001.0,1423350.17
2026-08-28,UNIENTER,EQUITY,EQ,INE037A01022,96.04,96.95,92.74,94.1,96.04,4514.0,426577.9
2026-08-27,UNIENTER,EQUITY,EQ,INE037A01022,97.98,97.98,93.8,96.04,95.08,6228.0,589018.08
2026-08-26,UNIENTER,EQUITY,EQ,INE037A01022,95.61,95.8,93.71,95.08,95.61,3054.0,288955.8
2026-08-25,UNIENTER,EQUITY,EQ,INE037A01022,96.89,96.89,94.1,95.61,94.99,2746.0,261028.93
2026-08-24,UNIENTER,EQUITY,EQ,INE037A01022,94.99,97.75,94.99,94.99,94.46,3133.0,300044.49
2026-08-21,UNIENTER,EQUITY,EQ,INE037A01022,94.21,98.59,94.1,94.46,94.65,2424.0,230372.82
2026-08-20,UNIENTER,EQUITY,EQ,INE037A01022,97.21,97.99,93.5,94.65,95.49,6123.0,583187.11
2026-08-19,UNIENTER,EQUITY,EQ,INE037A01022,98.5,98.98,95.26,95.49,97.85,3664.0,353672.49
2026-08-18,UNIENTER,EQUITY,EQ,INE037A01022,97.5,99.0,96.0,97.85,95.59,8142.0,792161.23
2026-08-17,UNIENTER,EQUITY,EQ,INE037A01022,95.81,98.5,95.11,95.59,95.36,1239.0,118931.32
2026-08-14,UNIENTER,EQUITY,EQ,INE037A01022,99.0,99.0,94.5,95.36,95.18,5363.0,516547.43
2026-08-13,UNIENTER,EQUITY,EQ,INE037A01022,97.08,98.1,94.4,95.18,97.08,5309.0,509625.29
2026-08-12,UNIENTER,EQUITY,EQ,INE037A01022,98.15,98.15,95.5,97.08,96.92,3945.0,382070.59
2026-08-11,UNIENTER,EQUITY,EQ,INE037A01022,97.0,98.73,96.1,96.92,96.8,2215.0,215071.2
2026-08-10,UNIENTER,EQUITY,EQ,INE037A01022,97.16,98.09,96.32,96.8,97.16,4870.0,471633.72
2026-08-07,UNIENTER,EQUITY,EQ,INE037A01022,99.75,99.75,96.33,97.16,97.37,5537.0,540152.16
2026-08-06,UNIENTER,EQUITY,EQ,INE037A01022,99.01,99.01,96.23,97.37,96.93,12560.0,1228277.81
2026-08-05,UNIENTER,EQUITY,EQ,INE037A01022,98.0,98.0,95.8,96.93,96.96,6343.0,614329.05
2026-08-04,UNIENTER,EQUITY,EQ,INE037A01022,96.5,98.97,96.05,96.96,97.08,1973.0,190963.82
2026-08-03,UNIENTER,EQUITY,EQ,INE037A01022,94.92,98.19,94.92,97.08,94.92,4101.0,398731.13
2026-07-31,UNIENTER,EQUITY,EQ,INE037A01022,95.38,99.0,94.0,94.92,95.38,9679.0,925264.62
2026-07-30,UNIENTER,EQUITY,EQ,INE037A01022,96.0,97.04,95.05,95.38,95.08,3587.0,342953.16
2026-07-29,UNIENTER,EQUITY,EQ,INE037A01022,96.62,97.9,94.25,95.08,96.62,17103.0,1635554.77
2026-07-28,UNIENTER,EQUITY,EQ,INE037A01022,101.9,101.9,95.0,96.62,97.64,8834.0,851915.83
2026-07-27,UNIENTER,EQUITY,EQ,INE037A01022,100.0,102.87,96.25,97.64,98.27,19064.0,1883819.63
2026-07-24,UNIENTER,EQUITY,EQ,INE037A01022,101.47,103.99,96.7,98.27,98.08,2791.0,275315.86
2026-07-23,UNIENTER,EQUITY,EQ,INE037A01022,100.0,100.0,97.0,98.08,99.52,9351.0,919731.73
2026-07-22,UNIENTER,EQUITY,EQ,INE037A01022,104.48,104.48,99.15,99.52,101.28,9787.0,987336.54
2026-07-21,UNIENTER,EQUITY,EQ,INE037A01022,103.51,104.46,101.0,101.28,101.71,10602.0,1086433.06
2026-07-20,UNIENTER,EQUITY,EQ,INE037A01022,103.45,104.89,101.1,101.71,103.45,12694.0,1299519.2
2026-07-17,UNIENTER,EQUITY,EQ,INE037A01022,107.0,107.0,102.17,103.45,108.78,18658.0,1948861.37
2026-07-16,UNIENTER,EQUITY,EQ,INE037A01022,110.5,110.5,107.55,108.78,107.73,61210.0,6654296.87
2026-07-15,UNIENTER,EQUITY,EQ,INE037A01022,109.7,110.5,106.13,107.73,107.93,73170.0,7928619.33
2026-07-14,UNIENTER,EQUITY,EQ,INE037A01022,110.75,110.75,107.0,107.93,108.03,20759.0,2243690.81
2026-07-13,UNIENTER,EQUITY,EQ,INE037A01022,107.98,113.0,106.16,108.03,107.98,64128.0,6953770.56
2026-07-10,UNIENTER,EQUITY,EQ,INE037A01022,107.79,108.5,106.4,107.98,107.79,16197.0,1743954.0
2026-07-09,UNIENTER,EQUITY,EQ,INE037A01022,107.9,108.0,104.81,107.79,105.5,11485.0,1236341.28
2026-07-08,UNIENTER,EQUITY,EQ,INE037A01022,109.0,109.0,104.3,105.5,106.67,7645.0,812996.0
2026-07-07,UNIENTER,EQUITY,EQ,INE037A01022,109.0,110.88,105.02,106.67,107.53,15587.0,1671920.67
2026-07-06,UNIENTER,EQUITY,EQ,INE037A01022,111.5,111.79,104.0,107.53,107.71,37338.0,4076618.87
