trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,UNIMECH,EQUITY,EQ,INE0U3I01011,1600.1,1602.3,1557.1,1568.1,1586.4,132067.0,207812899.0
2026-09-09,UNIMECH,EQUITY,EQ,INE0U3I01011,1649.0,1652.8,1542.0,1586.4,1629.6,399949.0,633529147.0
2026-09-08,UNIMECH,EQUITY,EQ,INE0U3I01011,1514.0,1640.0,1494.2,1629.6,1495.7,939028.0,1486882326.1
2026-09-07,UNIMECH,EQUITY,EQ,INE0U3I01011,1513.0,1528.0,1489.0,1495.7,1502.7,169474.0,256042865.6
2026-09-04,UNIMECH,EQUITY,EQ,INE0U3I01011,1476.0,1517.0,1468.4,1502.7,1465.3,179849.0,268932059.5
2026-09-03,UNIMECH,EQUITY,EQ,INE0U3I01011,1455.1,1497.8,1450.5,1465.3,1451.9,136446.0,200816187.3
2026-09-02,UNIMECH,EQUITY,EQ,INE0U3I01011,1470.5,1473.9,1421.2,1451.9,1475.1,141142.0,204112578.0
2026-09-01,UNIMECH,EQUITY,EQ,INE0U3I01011,1497.4,1499.9,1464.3,1475.1,1490.0,97827.0,144833855.7
2026-08-31,UNIMECH,EQUITY,EQ,INE0U3I01011,1500.0,1550.5,1458.1,1490.0,1503.1,317241.0,476456611.8
2026-08-28,UNIMECH,EQUITY,EQ,INE0U3I01011,1498.0,1511.7,1482.5,1503.1,1485.4,99475.0,149211911.0
2026-08-27,UNIMECH,EQUITY,EQ,INE0U3I01011,1507.7,1527.7,1471.0,1485.4,1500.2,123211.0,185046910.5
2026-08-26,UNIMECH,EQUITY,EQ,INE0U3I01011,1484.0,1529.0,1478.1,1500.2,1473.5,240768.0,363610319.0
2026-08-25,UNIMECH,EQUITY,EQ,INE0U3I01011,1509.8,1509.8,1435.0,1473.5,1499.4,168909.0,247367254.2
2026-08-24,UNIMECH,EQUITY,EQ,INE0U3I01011,1491.4,1525.0,1484.2,1499.4,1491.4,203429.0,307441238.0
2026-08-21,UNIMECH,EQUITY,EQ,INE0U3I01011,1503.7,1523.8,1476.2,1491.4,1508.3,131598.0,197745831.5
