trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,UNIONGOLD,EQUITY,EQ,INF582M01KS4,149.5,152.8,148.4,149.0,148.85,1800.0,268666.15
2026-09-08,UNIONGOLD,EQUITY,EQ,INF582M01KS4,149.55,150.25,148.45,148.85,148.75,739.0,110453.65
2026-09-07,UNIONGOLD,EQUITY,EQ,INF582M01KS4,150.0,150.15,147.55,148.75,150.2,1064.0,157914.2
2026-09-04,UNIONGOLD,EQUITY,EQ,INF582M01KS4,153.1,153.1,150.15,150.2,149.6,1581.0,238019.85
2026-09-03,UNIONGOLD,EQUITY,EQ,INF582M01KS4,150.0,150.35,149.1,149.6,145.95,969.0,145365.45
2026-09-02,UNIONGOLD,EQUITY,EQ,INF582M01KS4,148.35,148.35,145.7,145.95,148.45,7779.0,1140147.9
2026-09-01,UNIONGOLD,EQUITY,EQ,INF582M01KS4,154.35,154.35,147.75,148.45,150.6,52992.0,7981612.75
2026-08-31,UNIONGOLD,EQUITY,EQ,INF582M01KS4,154.5,154.5,149.3,150.6,155.3,2810.0,423190.8
2026-08-28,UNIONGOLD,EQUITY,EQ,INF582M01KS4,153.1,155.45,151.15,155.3,153.1,5872.0,908164.65
2026-08-27,UNIONGOLD,EQUITY,EQ,INF582M01KS4,158.25,158.25,152.0,153.1,156.65,4039.0,622743.7
2026-08-26,UNIONGOLD,EQUITY,EQ,INF582M01KS4,157.4,157.6,156.15,156.65,156.7,1720.0,269442.35
2026-08-25,UNIONGOLD,EQUITY,EQ,INF582M01KS4,157.75,157.75,156.05,156.7,157.75,2663.0,417939.8
2026-08-24,UNIONGOLD,EQUITY,EQ,INF582M01KS4,155.25,158.95,155.25,157.75,155.2,14618.0,2298129.7
2026-08-21,UNIONGOLD,EQUITY,EQ,INF582M01KS4,153.05,155.75,151.5,155.2,152.3,5192.0,803371.15
2026-08-20,UNIONGOLD,EQUITY,EQ,INF582M01KS4,149.4,153.3,149.4,152.3,148.9,82730.0,12651244.0
2026-08-19,UNIONGOLD,EQUITY,EQ,INF582M01KS4,149.35,149.8,147.9,148.9,149.35,1356.0,201362.45
2026-08-18,UNIONGOLD,EQUITY,EQ,INF582M01KS4,149.95,151.4,149.15,149.35,149.25,3203.0,479188.2
2026-08-17,UNIONGOLD,EQUITY,EQ,INF582M01KS4,149.0,150.3,149.0,149.25,147.7,2199.0,328815.0
2026-08-14,UNIONGOLD,EQUITY,EQ,INF582M01KS4,148.5,148.5,146.45,147.7,148.55,3702.0,544704.25
2026-08-13,UNIONGOLD,EQUITY,EQ,INF582M01KS4,152.9,152.9,147.85,148.55,149.9,1421.0,211477.2
2026-08-12,UNIONGOLD,EQUITY,EQ,INF582M01KS4,150.9,150.9,148.2,149.9,148.65,6567.0,978815.75
2026-08-11,UNIONGOLD,EQUITY,EQ,INF582M01KS4,149.6,150.3,147.85,148.65,147.2,14354.0,2140289.2
2026-08-10,UNIONGOLD,EQUITY,EQ,INF582M01KS4,146.3,148.3,142.65,147.2,146.3,49700.0,7365632.35
2026-08-07,UNIONGOLD,EQUITY,EQ,INF582M01KS4,145.3,146.45,143.55,146.3,145.3,2505.0,364093.65
2026-08-06,UNIONGOLD,EQUITY,EQ,INF582M01KS4,143.7,145.5,143.7,145.3,141.7,7247.0,1048186.2
2026-08-05,UNIONGOLD,EQUITY,EQ,INF582M01KS4,140.5,142.0,140.5,141.7,138.5,2592.0,366446.55
