trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-01,UNIVASTU,EQUITY,EQ,INE562X01013,92.79,92.79,86.3,87.73,91.88,129280.0,11494130.64
2026-06-30,UNIVASTU,EQUITY,EQ,INE562X01013,90.4,92.99,90.01,91.88,90.4,119884.0,10959547.48
2026-06-29,UNIVASTU,EQUITY,EQ,INE562X01013,85.66,91.21,84.66,90.4,85.15,137244.0,12196639.93
2026-06-25,UNIVASTU,EQUITY,EQ,INE562X01013,87.71,92.0,84.11,85.15,88.58,85656.0,7501853.39
2026-06-24,UNIVASTU,EQUITY,EQ,INE562X01013,90.45,90.45,87.52,88.58,89.47,67782.0,6028881.04
2026-06-23,UNIVASTU,EQUITY,EQ,INE562X01013,93.1,94.5,88.64,89.47,93.12,145382.0,13283808.82
2026-06-22,UNIVASTU,EQUITY,EQ,INE562X01013,92.4,94.99,90.27,93.12,89.12,295093.0,27347580.93
2026-06-19,UNIVASTU,EQUITY,EQ,INE562X01013,90.1,91.7,87.42,89.12,89.7,220125.0,19548561.47
2026-06-18,UNIVASTU,EQUITY,EQ,INE562X01013,88.1,93.5,88.0,89.7,88.36,433131.0,39102038.0
2026-06-17,UNIVASTU,EQUITY,EQ,INE562X01013,90.44,92.97,86.23,88.36,89.95,264138.0,23716260.56
2026-06-16,UNIVASTU,EQUITY,EQ,INE562X01013,82.44,94.45,81.75,89.95,82.44,2153384.0,192827312.25
2026-06-15,UNIVASTU,EQUITY,EQ,INE562X01013,82.7,83.49,80.5,82.44,80.1,226329.0,18651977.34
2026-06-12,UNIVASTU,EQUITY,EQ,INE562X01013,79.99,83.52,79.01,80.1,78.31,321863.0,26220614.86
2026-06-11,UNIVASTU,EQUITY,EQ,INE562X01013,79.33,79.88,77.55,78.31,78.31,47801.0,3765173.35
2026-06-10,UNIVASTU,EQUITY,EQ,INE562X01013,81.0,81.8,77.11,78.31,80.57,77165.0,6115987.65
2026-06-09,UNIVASTU,EQUITY,EQ,INE562X01013,78.1,81.25,78.1,80.57,78.45,153589.0,12281038.1
2026-06-08,UNIVASTU,EQUITY,EQ,INE562X01013,79.5,80.51,78.01,78.45,79.48,69645.0,5521416.01
2026-06-05,UNIVASTU,EQUITY,EQ,INE562X01013,80.1,81.03,78.06,79.48,79.63,153243.0,12225685.84
