trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-07-02,URAVIDEF,EQUITY,EQ,INE568Z01015,136.0,143.16,130.36,131.86,130.15,415955.0,57426044.28
2026-07-01,URAVIDEF,EQUITY,EQ,INE568Z01015,120.11,130.15,120.1,130.15,118.32,75751.0,9658332.92
2026-06-30,URAVIDEF,EQUITY,EQ,INE568Z01015,116.01,123.8,110.55,118.32,116.01,459568.0,53433947.47
2026-06-29,URAVIDEF,EQUITY,EQ,INE568Z01015,116.67,117.89,113.05,116.01,113.83,249126.0,28874634.01
2026-06-25,URAVIDEF,EQUITY,EQ,INE568Z01015,117.0,119.0,112.65,113.83,114.49,213249.0,24403039.95
2026-06-24,URAVIDEF,EQUITY,EQ,INE568Z01015,112.95,118.5,112.33,114.49,113.96,314915.0,36083738.09
2026-06-23,URAVIDEF,EQUITY,EQ,INE568Z01015,117.9,119.6,112.03,113.96,115.64,64437.0,7352843.35
2026-06-22,URAVIDEF,EQUITY,EQ,INE568Z01015,116.95,117.0,113.0,115.64,113.54,71215.0,8196890.7
2026-06-19,URAVIDEF,EQUITY,EQ,INE568Z01015,113.59,117.5,111.0,113.54,113.66,11339.0,1291138.82
2026-06-18,URAVIDEF,EQUITY,EQ,INE568Z01015,111.63,114.98,110.53,113.66,111.63,356380.0,40506353.77
2026-06-17,URAVIDEF,EQUITY,EQ,INE568Z01015,115.0,115.98,110.14,111.63,113.22,30142.0,3389660.48
2026-06-16,URAVIDEF,EQUITY,EQ,INE568Z01015,113.8,115.0,110.0,113.22,113.92,8037.0,908412.83
2026-06-15,URAVIDEF,EQUITY,EQ,INE568Z01015,122.7,122.7,113.1,113.92,113.74,15691.0,1816950.15
2026-06-12,URAVIDEF,EQUITY,EQ,INE568Z01015,116.0,118.49,110.5,113.74,114.38,8021.0,910398.25
2026-06-11,URAVIDEF,EQUITY,EQ,INE568Z01015,118.99,118.99,110.0,114.38,115.3,213917.0,24871684.13
2026-06-10,URAVIDEF,EQUITY,EQ,INE568Z01015,118.67,120.0,114.01,115.3,119.26,12366.0,1449838.1
2026-06-09,URAVIDEF,EQUITY,EQ,INE568Z01015,117.0,120.49,116.0,119.26,115.7,2791.0,329627.38
2026-06-08,URAVIDEF,EQUITY,EQ,INE568Z01015,115.2,122.0,114.0,115.7,117.73,9204.0,1082237.18
2026-06-05,URAVIDEF,EQUITY,EQ,INE568Z01015,119.0,119.0,115.2,117.73,115.12,5830.0,684041.72
2026-06-04,URAVIDEF,EQUITY,EQ,INE568Z01015,119.6,119.6,113.0,115.12,115.81,3396.0,391206.14
2026-06-03,URAVIDEF,EQUITY,EQ,INE568Z01015,122.0,122.0,114.1,115.81,116.61,4590.0,533767.38
2026-06-02,URAVIDEF,EQUITY,EQ,INE568Z01015,122.0,122.0,114.55,116.61,118.55,7631.0,895169.09
2026-06-01,URAVIDEF,EQUITY,EQ,INE568Z01015,122.64,124.2,113.7,118.55,119.65,8239.0,980174.95
2026-05-29,URAVIDEF,EQUITY,EQ,INE568Z01015,119.0,121.6,114.0,119.65,117.32,12731.0,1487826.85
2026-05-27,URAVIDEF,EQUITY,EQ,INE568Z01015,122.9,122.9,115.6,117.32,118.01,12758.0,1497964.25
2026-05-26,URAVIDEF,EQUITY,EQ,INE568Z01015,115.26,120.39,115.26,118.01,117.92,17647.0,2094630.0
2026-05-25,URAVIDEF,EQUITY,EQ,INE568Z01015,118.6,123.4,116.0,117.92,118.54,12952.0,1546871.12
2026-05-22,URAVIDEF,EQUITY,EQ,INE568Z01015,119.0,120.49,116.0,118.54,118.56,3568.0,424289.47
2026-05-21,URAVIDEF,EQUITY,EQ,INE568Z01015,121.9,121.9,115.0,118.56,117.23,3173.0,374763.18
2026-05-20,URAVIDEF,EQUITY,EQ,INE568Z01015,122.5,124.98,114.64,117.23,120.67,7240.0,854767.25
2026-05-19,URAVIDEF,EQUITY,EQ,INE568Z01015,122.98,129.6,120.0,120.67,123.5,3962.0,487468.53
2026-04-16,URAVIDEF,EQUITY,EQ,INE568Z01015,152.95,152.95,141.35,142.85,149.52,34804.0,5117177.32
2026-04-15,URAVIDEF,EQUITY,EQ,INE568Z01015,162.0,162.0,146.66,149.52,154.27,100491.0,15396679.01
2026-04-13,URAVIDEF,EQUITY,EQ,INE568Z01015,158.04,158.83,149.57,154.27,156.97,15250.0,2332515.06
2026-04-10,URAVIDEF,EQUITY,EQ,INE568Z01015,149.69,157.0,143.02,156.97,142.64,41325.0,6405953.06
2026-04-09,URAVIDEF,EQUITY,EQ,INE568Z01015,142.8,148.91,138.0,142.64,140.41,9592.0,1363415.87
2026-04-08,URAVIDEF,EQUITY,EQ,INE568Z01015,138.0,143.61,135.0,140.41,135.91,81199.0,11377196.82
2026-04-07,URAVIDEF,EQUITY,EQ,INE568Z01015,140.0,140.5,135.0,135.91,139.48,5634.0,774569.49
2026-04-06,URAVIDEF,EQUITY,EQ,INE568Z01015,138.0,140.42,135.01,139.48,132.94,10619.0,1475828.06
2026-04-02,URAVIDEF,EQUITY,EQ,INE568Z01015,115.5,134.46,115.5,132.94,122.24,12156.0,1579252.09
2026-04-01,URAVIDEF,EQUITY,EQ,INE568Z01015,113.1,123.5,113.1,122.24,112.28,9572.0,1150755.61
2026-03-30,URAVIDEF,EQUITY,EQ,INE568Z01015,119.59,119.59,108.03,112.28,117.11,18279.0,2067684.06
2026-03-27,URAVIDEF,EQUITY,EQ,INE568Z01015,122.0,125.91,113.0,117.11,120.7,135809.0,16169100.3
2026-03-25,URAVIDEF,EQUITY,EQ,INE568Z01015,127.7,127.7,120.22,120.7,122.56,105162.0,12945871.36
2026-03-24,URAVIDEF,EQUITY,EQ,INE568Z01015,128.9,128.9,120.6,122.56,122.76,3240.0,406534.62
2026-03-23,URAVIDEF,EQUITY,EQ,INE568Z01015,129.65,129.66,121.35,122.76,126.49,3378.0,419576.22
2026-03-20,URAVIDEF,EQUITY,EQ,INE568Z01015,128.65,128.65,123.16,126.49,124.49,3932.0,494878.15
2026-03-19,URAVIDEF,EQUITY,EQ,INE568Z01015,129.99,129.99,124.31,124.49,126.99,5747.0,723973.25
2026-03-18,URAVIDEF,EQUITY,EQ,INE568Z01015,132.0,132.0,126.0,126.99,128.91,108796.0,13850047.56
2026-03-17,URAVIDEF,EQUITY,EQ,INE568Z01015,133.0,133.0,128.0,128.91,126.74,4060.0,528723.63
2026-03-16,URAVIDEF,EQUITY,EQ,INE568Z01015,133.0,134.89,123.0,126.74,128.51,8024.0,1016061.57
2026-03-13,URAVIDEF,EQUITY,EQ,INE568Z01015,132.9,132.9,125.85,128.51,130.07,11227.0,1440804.87
2026-03-12,URAVIDEF,EQUITY,EQ,INE568Z01015,143.0,143.0,128.4,130.07,133.57,77591.0,10391933.29
2026-03-11,URAVIDEF,EQUITY,EQ,INE568Z01015,134.25,141.8,132.31,133.57,135.96,31118.0,4277986.36
2026-03-10,URAVIDEF,EQUITY,EQ,INE568Z01015,135.65,139.79,133.15,135.96,135.93,120666.0,16509812.34
2026-03-09,URAVIDEF,EQUITY,EQ,INE568Z01015,145.0,148.45,133.88,135.93,144.95,25963.0,3647635.77
2026-03-06,URAVIDEF,EQUITY,EQ,INE568Z01015,144.0,148.99,139.05,144.95,142.95,40375.0,5828433.76
2026-03-05,URAVIDEF,EQUITY,EQ,INE568Z01015,140.0,144.89,138.16,142.95,138.85,18818.0,2690461.83
2026-03-04,URAVIDEF,EQUITY,EQ,INE568Z01015,142.79,145.5,132.81,138.85,140.86,26462.0,3696415.8
2026-03-02,URAVIDEF,EQUITY,EQ,INE568Z01015,141.9,144.98,138.02,140.86,145.91,85601.0,12083292.77
2026-02-27,URAVIDEF,EQUITY,EQ,INE568Z01015,147.5,152.55,143.2,145.91,147.46,80298.0,11925435.81
2026-02-26,URAVIDEF,EQUITY,EQ,INE568Z01015,152.0,154.7,145.6,147.46,146.26,86353.0,12926380.55
2026-02-25,URAVIDEF,EQUITY,EQ,INE568Z01015,158.0,158.0,145.0,146.26,150.36,27194.0,4085466.11
2026-02-24,URAVIDEF,EQUITY,EQ,INE568Z01015,158.49,158.49,147.87,150.36,149.18,6629.0,999801.56
2026-02-23,URAVIDEF,EQUITY,EQ,INE568Z01015,159.1,169.37,146.1,149.18,156.82,43037.0,6620382.88
2026-02-20,URAVIDEF,EQUITY,EQ,INE568Z01015,170.0,176.99,152.25,156.82,169.11,118483.0,19045121.27
