trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-12-23,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.11,61.21,60.98,61.08,61.02,14039.0,857778.88
2025-12-22,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.53,61.19,60.53,61.02,60.81,20370.0,1243452.67
2025-12-19,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.82,60.94,60.65,60.81,60.69,17870.0,1087527.27
2025-12-18,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.51,61.09,60.46,60.69,60.7,22106.0,1343170.0
2025-12-17,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.28,61.28,60.51,60.7,60.95,223793.0,13569196.83
2025-12-16,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.11,61.17,60.8,60.95,61.42,28055.0,1709970.93
2025-12-15,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,63.1,63.1,60.82,61.42,61.26,109268.0,6690482.98
2025-12-12,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.31,61.36,61.0,61.26,61.0,81165.0,4963538.73
2025-12-11,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.4,61.4,60.67,61.0,60.84,41798.0,2558384.64
2025-12-10,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.26,61.26,60.61,60.84,60.96,77115.0,4690960.5
2025-12-09,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.5,61.5,60.49,60.96,61.09,60570.0,3692674.91
2025-12-08,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.41,61.59,60.95,61.09,61.58,49020.0,2998212.79
2025-12-05,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.31,61.71,61.07,61.58,61.01,153734.0,9441279.1
2025-12-04,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.65,61.65,60.81,61.01,61.18,3795205.0,231220023.03
2025-12-03,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.54,61.54,60.76,61.18,61.24,24848.0,1513999.89
2025-12-02,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.94,61.94,61.18,61.24,61.42,18469.0,1133096.44
2025-12-01,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.88,61.99,61.33,61.42,61.52,160733.0,9889355.69
2025-11-28,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.94,61.94,61.47,61.52,61.63,111420.0,6859167.93
2025-11-27,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.31,61.79,61.31,61.63,61.3,101155.0,6229295.85
2025-11-26,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.8,61.44,60.8,61.3,60.63,26542.0,1625727.82
2025-11-25,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.05,61.05,60.53,60.63,60.75,12482.0,758258.35
2025-11-24,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.42,61.15,60.42,60.75,60.69,18625.0,1134667.79
2025-11-21,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.48,61.48,60.54,60.69,61.25,39257.0,2387970.85
2025-11-20,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,61.27,61.34,60.95,61.25,60.95,707296.0,43261847.31
2025-11-19,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.31,61.13,60.31,60.95,60.84,718010.0,43715893.64
2025-11-18,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.8,61.04,60.37,60.84,60.85,1280966.0,78069560.7
2025-11-17,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.86,60.94,59.86,60.85,60.27,344850.0,20961955.22
2025-11-14,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.18,60.33,59.77,60.27,60.15,36501.0,2196367.71
2025-11-13,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.49,60.49,59.96,60.15,59.99,18633.0,1122603.15
2025-11-12,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.24,60.32,59.92,59.99,59.85,1272007.0,76467687.72
2025-11-11,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.39,60.04,58.39,59.85,59.89,491916.0,29345513.0
2025-11-10,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.73,60.2,59.7,59.89,59.64,8053389.0,483247797.55
2025-11-07,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.95,59.95,58.98,59.64,59.36,420489.0,25106940.55
2025-11-06,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.95,59.95,59.34,59.36,59.66,63638.0,3782906.97
2025-11-04,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.45,59.95,58.45,59.66,59.95,59809.0,3569946.99
2025-11-03,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.86,60.04,59.49,59.95,59.67,111076.0,6655156.98
2025-10-31,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.78,60.25,59.53,59.67,59.94,551410.0,32875033.19
2025-10-30,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.44,60.44,59.9,59.94,60.14,1053171.0,63249320.33
2025-10-29,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,60.21,60.33,59.95,60.14,59.95,781716.0,47006929.47
2025-10-28,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.99,60.25,59.6,59.95,59.97,58624.0,3504851.88
2025-10-27,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.21,60.09,59.2,59.97,59.56,32587.0,1953220.58
2025-10-24,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.3,59.99,59.3,59.56,59.8,21087.0,1256914.0
2025-10-23,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.9,60.39,59.68,59.8,59.8,83792.0,5042290.99
2025-10-21,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.28,60.24,58.28,59.8,59.78,33389.0,1994831.98
2025-10-20,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.44,60.06,59.44,59.78,59.44,2432487.0,145640957.37
2025-10-17,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.1,59.61,58.91,59.44,59.13,354753.0,21002534.54
2025-10-16,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.74,59.22,56.74,59.13,58.49,96863.0,5715180.4
2025-10-15,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.22,58.6,58.22,58.49,58.22,171751.0,10033904.65
2025-10-14,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.64,58.64,58.02,58.22,58.41,28832.0,1679241.04
2025-10-13,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.08,58.77,57.99,58.41,58.32,34795.0,2031067.25
2025-10-10,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.95,58.49,57.95,58.32,58.0,46529.0,2713385.92
2025-10-09,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.18,58.19,57.61,58.0,57.82,35328.0,2043760.51
2025-10-08,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.0,58.14,57.52,57.82,57.94,16330.0,944250.74
2025-10-07,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.05,58.22,57.79,57.94,57.89,635255.0,36912165.29
2025-10-06,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.85,58.0,56.97,57.89,57.36,9306470.0,538325918.47
2025-10-03,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.37,57.48,56.91,57.36,57.16,573484.0,32916486.0
2025-10-01,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.88,57.2,56.37,57.16,56.43,294505.0,16826319.58
2025-09-30,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.17,56.64,56.01,56.43,56.17,83620.0,4717997.34
2025-09-29,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.29,56.49,56.04,56.17,56.2,57124.0,3209876.84
2025-09-26,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.41,56.75,56.1,56.2,56.79,30699.0,1729210.18
2025-09-25,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.51,57.24,56.51,56.79,56.96,18419.0,1048188.04
2025-09-24,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.29,57.29,56.81,56.96,57.17,286991.0,16347218.27
2025-09-23,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.58,57.58,56.8,57.17,57.14,36996.0,2114217.2
2025-09-22,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.9,57.52,56.9,57.14,57.09,24719.0,1413814.84
2025-09-19,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.42,57.88,56.93,57.09,57.41,1148389.0,65651268.09
2025-09-18,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.51,57.58,57.2,57.41,57.23,48973.0,2810880.66
2025-09-17,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.98,57.38,56.71,57.23,56.86,121520.0,6927250.91
2025-09-16,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,55.12,56.94,55.12,56.86,56.54,31193.0,1771904.25
2025-09-15,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.78,56.95,56.16,56.54,56.5,385746.0,21817455.64
2025-09-12,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.25,56.88,56.25,56.5,56.28,36958.0,2087966.02
2025-09-11,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.8,56.8,55.77,56.28,56.35,298621.0,16815800.44
2025-09-10,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,55.71,56.44,55.7,56.35,55.99,1056592.0,59452298.72
2025-09-09,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.21,56.47,55.47,55.99,55.94,30191.0,1688866.61
2025-09-08,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,54.5,57.58,54.5,55.94,55.9,21146.0,1184666.68
2025-09-05,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,55.5,56.03,55.41,55.9,55.74,32448.0,1809244.36
2025-09-04,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,55.9,56.19,55.67,55.74,55.72,35186.0,1965462.15
2025-09-03,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,54.06,55.93,54.06,55.72,55.45,165108.0,9191904.66
2025-09-02,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,55.51,56.23,55.35,55.45,55.7,33187.0,1847144.6
2025-09-01,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,55.59,55.9,55.01,55.7,55.31,209071.0,11635207.25
2025-08-29,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,55.54,55.99,55.26,55.31,55.59,266852.0,14781246.63
2025-08-28,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.68,56.68,55.55,55.59,56.15,86783.0,4837829.98
2025-08-26,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.0,57.39,56.05,56.15,56.95,563605.0,31665892.85
2025-08-25,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.59,57.08,56.5,56.95,56.89,13689.0,779211.92
2025-08-22,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,59.26,59.26,56.81,56.89,57.53,56478.0,3223743.35
2025-08-21,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.87,57.88,57.36,57.53,57.35,27475.0,1582763.12
2025-08-20,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.74,57.74,57.25,57.35,57.51,24177.0,1387282.14
2025-08-19,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.89,57.89,57.21,57.51,57.48,243314.0,13988509.23
2025-08-18,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,56.74,57.85,56.73,57.48,56.99,49452.0,2843472.1
2025-08-14,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,57.11,57.15,56.75,56.99,56.92,13564.0,773759.1
2025-08-13,UTIBANKETF,EQUITY,EQ,INF789F1AUV1,58.28,58.28,56.69,56.92,56.86,23772.0,1352078.35
