trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-08-27,VALIANTLAB,EQUITY,EQ,INE0JWS01017,107.87,109.2,103.0,104.89,107.87,363930.0,38713665.08
2026-08-26,VALIANTLAB,EQUITY,EQ,INE0JWS01017,106.99,110.7,103.32,107.87,105.48,385876.0,41971792.39
2026-08-25,VALIANTLAB,EQUITY,EQ,INE0JWS01017,105.5,105.54,98.5,105.48,100.52,899019.0,94290166.32
2026-08-24,VALIANTLAB,EQUITY,EQ,INE0JWS01017,97.9,100.52,97.21,100.52,95.74,174713.0,17502325.05
2026-08-21,VALIANTLAB,EQUITY,EQ,INE0JWS01017,93.9,96.24,90.94,95.74,91.66,360356.0,34214229.31
2026-08-20,VALIANTLAB,EQUITY,EQ,INE0JWS01017,94.8,95.0,88.4,91.66,91.96,295912.0,27386870.32
2026-08-19,VALIANTLAB,EQUITY,EQ,INE0JWS01017,95.1,95.1,86.31,91.96,90.85,523142.0,48159142.15
2026-08-18,VALIANTLAB,EQUITY,EQ,INE0JWS01017,90.85,90.85,88.27,90.85,86.53,405249.0,36743364.62
2026-08-17,VALIANTLAB,EQUITY,EQ,INE0JWS01017,86.53,86.53,86.53,86.53,82.41,19553.0,1691921.09
2026-08-14,VALIANTLAB,EQUITY,EQ,INE0JWS01017,82.41,82.41,82.41,82.41,78.49,41064.0,3384084.24
2026-08-13,VALIANTLAB,EQUITY,EQ,INE0JWS01017,78.49,78.49,78.49,78.49,74.76,7454.0,585064.46
2026-08-12,VALIANTLAB,EQUITY,EQ,INE0JWS01017,74.76,74.76,74.76,74.76,71.2,11746.0,878130.96
2026-08-11,VALIANTLAB,EQUITY,EQ,INE0JWS01017,71.2,71.2,71.2,71.2,67.81,7984.0,568460.8
2026-04-29,VALIANTLAB,EQUITY,EQ,INE0JWS01017,80.8,82.5,78.2,81.65,79.62,87489.0,7123719.36
2026-04-28,VALIANTLAB,EQUITY,EQ,INE0JWS01017,77.55,81.0,77.27,79.62,75.89,106515.0,8479249.32
2026-04-27,VALIANTLAB,EQUITY,EQ,INE0JWS01017,75.69,80.07,74.8,75.89,75.69,200492.0,15409071.1
2026-04-24,VALIANTLAB,EQUITY,EQ,INE0JWS01017,77.9,81.3,74.1,75.69,75.59,299692.0,23382188.55
2026-04-23,VALIANTLAB,EQUITY,EQ,INE0JWS01017,67.5,77.0,67.5,75.59,67.5,143196.0,10461310.34
2026-04-22,VALIANTLAB,EQUITY,EQ,INE0JWS01017,68.09,68.09,66.11,67.5,68.09,18793.0,1260329.79
2026-04-21,VALIANTLAB,EQUITY,EQ,INE0JWS01017,66.85,68.9,64.94,68.09,66.45,29698.0,1977322.32
2026-04-20,VALIANTLAB,EQUITY,EQ,INE0JWS01017,68.39,68.79,66.35,66.45,68.39,72199.0,4842877.4
2026-04-17,VALIANTLAB,EQUITY,EQ,INE0JWS01017,67.32,70.0,67.31,68.39,67.02,84368.0,5814748.17
2026-04-16,VALIANTLAB,EQUITY,EQ,INE0JWS01017,63.51,68.5,63.51,67.02,62.81,177079.0,11695256.39
2026-04-15,VALIANTLAB,EQUITY,EQ,INE0JWS01017,60.0,63.45,59.76,62.81,58.39,129280.0,7887802.84
2026-04-13,VALIANTLAB,EQUITY,EQ,INE0JWS01017,59.98,59.98,57.53,58.39,58.38,36220.0,2119979.02
2026-04-10,VALIANTLAB,EQUITY,EQ,INE0JWS01017,59.09,60.0,56.65,58.38,57.71,34269.0,1994170.62
2026-04-09,VALIANTLAB,EQUITY,EQ,INE0JWS01017,60.23,60.77,57.1,57.71,59.9,57461.0,3384114.13
2026-04-08,VALIANTLAB,EQUITY,EQ,INE0JWS01017,60.9,60.9,59.27,59.9,59.17,35696.0,2138669.18
2026-04-07,VALIANTLAB,EQUITY,EQ,INE0JWS01017,59.8,59.9,56.64,59.17,56.99,100045.0,5823984.59
2026-04-06,VALIANTLAB,EQUITY,EQ,INE0JWS01017,57.94,57.95,55.92,56.99,57.19,29786.0,1688185.57
2026-04-02,VALIANTLAB,EQUITY,EQ,INE0JWS01017,56.94,57.8,54.74,57.19,56.94,31798.0,1794504.71
2026-04-01,VALIANTLAB,EQUITY,EQ,INE0JWS01017,54.0,58.9,53.99,56.94,51.62,44054.0,2528507.99
2026-03-30,VALIANTLAB,EQUITY,EQ,INE0JWS01017,53.31,54.0,51.0,51.62,53.57,78607.0,4076690.13
2026-03-27,VALIANTLAB,EQUITY,EQ,INE0JWS01017,57.9,57.9,53.0,53.57,56.83,105694.0,5825670.17
2026-03-25,VALIANTLAB,EQUITY,EQ,INE0JWS01017,59.77,61.4,56.38,56.83,59.47,71665.0,4207158.14
2026-03-24,VALIANTLAB,EQUITY,EQ,INE0JWS01017,57.7,60.5,57.62,59.47,56.41,172593.0,10123310.57
2026-03-23,VALIANTLAB,EQUITY,EQ,INE0JWS01017,61.39,61.39,55.4,56.41,61.1,112758.0,6470537.71
2026-03-20,VALIANTLAB,EQUITY,EQ,INE0JWS01017,54.5,63.7,54.5,61.1,55.29,638512.0,39080035.14
2026-03-19,VALIANTLAB,EQUITY,EQ,INE0JWS01017,49.99,59.98,49.99,55.29,50.93,362691.0,20355732.15
2026-03-18,VALIANTLAB,EQUITY,EQ,INE0JWS01017,51.0,51.5,50.11,50.93,50.98,139324.0,7106171.79
2026-03-17,VALIANTLAB,EQUITY,EQ,INE0JWS01017,51.71,52.95,50.61,50.98,51.49,102504.0,5265082.36
2026-03-16,VALIANTLAB,EQUITY,EQ,INE0JWS01017,52.1,52.32,51.16,51.49,51.79,52295.0,2698278.15
2026-03-13,VALIANTLAB,EQUITY,EQ,INE0JWS01017,53.0,55.4,50.9,51.79,54.08,30945.0,1649157.43
2026-03-12,VALIANTLAB,EQUITY,EQ,INE0JWS01017,56.8,57.52,52.99,54.08,56.33,130174.0,7263739.62
2026-03-11,VALIANTLAB,EQUITY,EQ,INE0JWS01017,55.9,56.8,53.58,56.33,54.87,49146.0,2747890.74
2026-03-10,VALIANTLAB,EQUITY,EQ,INE0JWS01017,57.85,57.85,53.73,54.87,55.77,24046.0,1313744.79
2026-03-09,VALIANTLAB,EQUITY,EQ,INE0JWS01017,51.4,57.0,51.4,55.77,53.37,130486.0,7173120.88
2026-03-06,VALIANTLAB,EQUITY,EQ,INE0JWS01017,52.25,56.09,52.25,53.37,54.17,136047.0,7439514.83
2026-03-05,VALIANTLAB,EQUITY,EQ,INE0JWS01017,53.01,56.98,53.0,54.17,52.48,45795.0,2501028.24
2026-03-04,VALIANTLAB,EQUITY,EQ,INE0JWS01017,56.39,56.39,49.51,52.48,56.39,65799.0,3410527.31
2026-03-02,VALIANTLAB,EQUITY,EQ,INE0JWS01017,53.1,57.13,53.1,56.39,57.28,23409.0,1302982.95
2026-02-27,VALIANTLAB,EQUITY,EQ,INE0JWS01017,60.0,60.65,56.0,57.28,59.1,25314.0,1458103.78
2026-02-26,VALIANTLAB,EQUITY,EQ,INE0JWS01017,58.8,60.0,58.01,59.1,59.11,6454.0,380055.38
2026-02-25,VALIANTLAB,EQUITY,EQ,INE0JWS01017,61.0,61.3,58.81,59.11,59.34,6990.0,417263.43
2026-02-24,VALIANTLAB,EQUITY,EQ,INE0JWS01017,60.96,60.96,59.05,59.34,59.1,78290.0,4695154.56
2026-02-23,VALIANTLAB,EQUITY,EQ,INE0JWS01017,59.0,59.73,57.45,59.1,58.3,33638.0,1983685.14
2026-02-20,VALIANTLAB,EQUITY,EQ,INE0JWS01017,58.51,59.39,57.31,58.3,58.51,13208.0,769145.15
