trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,VENKEYS,EQUITY,EQ,INE398A01010,1648.3,1742.0,1644.5,1709.0,1648.3,184656.0,316649847.4
2026-09-07,VENKEYS,EQUITY,EQ,INE398A01010,1640.8,1670.9,1631.6,1648.3,1659.6,40538.0,66725552.5
2026-09-04,VENKEYS,EQUITY,EQ,INE398A01010,1677.1,1683.9,1655.2,1659.6,1677.1,25085.0,41792363.2
2026-09-03,VENKEYS,EQUITY,EQ,INE398A01010,1668.0,1713.0,1663.2,1677.1,1659.0,86485.0,145958899.0
2026-09-02,VENKEYS,EQUITY,EQ,INE398A01010,1654.0,1682.0,1640.1,1659.0,1649.0,70557.0,116947917.8
2026-09-01,VENKEYS,EQUITY,EQ,INE398A01010,1695.0,1702.8,1641.0,1649.0,1702.0,92772.0,155240454.2
2026-08-31,VENKEYS,EQUITY,EQ,INE398A01010,1587.2,1747.4,1575.4,1702.0,1571.9,1282528.0,2171990546.8
2026-08-28,VENKEYS,EQUITY,EQ,INE398A01010,1583.0,1587.3,1565.0,1571.9,1575.6,14290.0,22511155.7
2026-08-27,VENKEYS,EQUITY,EQ,INE398A01010,1598.0,1621.3,1565.1,1575.6,1597.0,51334.0,82010288.6
2026-08-26,VENKEYS,EQUITY,EQ,INE398A01010,1579.0,1604.9,1566.1,1597.0,1577.4,56013.0,89171709.2
2026-08-25,VENKEYS,EQUITY,EQ,INE398A01010,1576.4,1608.6,1567.1,1577.4,1568.5,88393.0,140142383.0
2026-08-24,VENKEYS,EQUITY,EQ,INE398A01010,1515.5,1604.2,1511.2,1568.5,1507.4,98002.0,153925131.3
2026-08-21,VENKEYS,EQUITY,EQ,INE398A01010,1515.0,1530.8,1502.1,1507.4,1512.0,19632.0,29698559.3
2026-08-20,VENKEYS,EQUITY,EQ,INE398A01010,1510.0,1557.0,1499.1,1512.0,1502.2,25417.0,38492820.8
2026-08-19,VENKEYS,EQUITY,EQ,INE398A01010,1515.2,1522.5,1499.0,1502.2,1514.8,21382.0,32261246.3
2026-08-18,VENKEYS,EQUITY,EQ,INE398A01010,1534.9,1546.8,1509.1,1514.8,1531.0,22957.0,35037597.2
2026-08-17,VENKEYS,EQUITY,EQ,INE398A01010,1525.7,1555.6,1523.0,1531.0,1528.0,24903.0,38301219.2
2026-08-14,VENKEYS,EQUITY,EQ,INE398A01010,1536.5,1563.3,1517.7,1528.0,1523.0,57364.0,88205915.7
2026-08-13,VENKEYS,EQUITY,EQ,INE398A01010,1521.0,1562.0,1516.1,1523.0,1515.1,48835.0,74956476.3
2026-08-12,VENKEYS,EQUITY,EQ,INE398A01010,1575.0,1588.0,1504.0,1515.1,1537.8,133915.0,207155851.1
2026-08-11,VENKEYS,EQUITY,EQ,INE398A01010,1569.4,1679.0,1470.1,1537.8,1565.0,974457.0,1545954208.2
2026-08-10,VENKEYS,EQUITY,EQ,INE398A01010,1583.5,1597.6,1545.0,1565.0,1573.4,43689.0,68878418.2
2026-08-07,VENKEYS,EQUITY,EQ,INE398A01010,1561.1,1596.9,1560.0,1573.4,1565.1,22629.0,35771078.5
2026-08-06,VENKEYS,EQUITY,EQ,INE398A01010,1581.9,1591.9,1551.5,1565.1,1581.9,19180.0,30229631.6
2026-08-05,VENKEYS,EQUITY,EQ,INE398A01010,1609.0,1618.0,1563.0,1581.9,1595.2,35071.0,55844042.7
2026-08-04,VENKEYS,EQUITY,EQ,INE398A01010,1565.0,1619.6,1548.1,1595.2,1565.0,110945.0,176846059.4
2026-08-03,VENKEYS,EQUITY,EQ,INE398A01010,1508.6,1578.0,1508.6,1565.0,1499.4,81484.0,126058725.3
2026-07-31,VENKEYS,EQUITY,EQ,INE398A01010,1501.9,1513.9,1482.0,1499.4,1494.2,18076.0,26991349.4
2026-07-30,VENKEYS,EQUITY,EQ,INE398A01010,1500.0,1509.1,1491.2,1494.2,1510.5,19306.0,28932695.2
2026-07-29,VENKEYS,EQUITY,EQ,INE398A01010,1509.1,1524.9,1501.0,1510.5,1505.1,21867.0,33083098.4
2026-07-28,VENKEYS,EQUITY,EQ,INE398A01010,1500.0,1584.6,1492.0,1505.1,1503.7,94704.0,145139923.9
2026-07-27,VENKEYS,EQUITY,EQ,INE398A01010,1513.5,1533.0,1491.9,1503.7,1505.2,68141.0,103106537.3
2026-07-24,VENKEYS,EQUITY,EQ,INE398A01010,1509.1,1534.8,1490.1,1505.2,1508.5,54554.0,82229217.0
2026-07-23,VENKEYS,EQUITY,EQ,INE398A01010,1506.6,1538.0,1489.0,1508.5,1500.9,35380.0,53486602.0
2026-07-22,VENKEYS,EQUITY,EQ,INE398A01010,1530.0,1530.0,1494.3,1500.9,1527.7,21648.0,32610439.5
2026-07-21,VENKEYS,EQUITY,EQ,INE398A01010,1513.1,1557.7,1498.8,1527.7,1522.3,59725.0,91362568.4
2026-07-20,VENKEYS,EQUITY,EQ,INE398A01010,1455.5,1533.5,1447.2,1522.3,1450.9,56502.0,84655786.3
2026-07-17,VENKEYS,EQUITY,EQ,INE398A01010,1482.2,1484.0,1440.0,1450.9,1480.7,27832.0,40546916.1
2026-07-16,VENKEYS,EQUITY,EQ,INE398A01010,1506.0,1513.7,1475.0,1480.7,1498.1,13817.0,20620664.1
2026-07-15,VENKEYS,EQUITY,EQ,INE398A01010,1508.0,1512.8,1481.5,1498.1,1502.4,25109.0,37650017.9
2026-07-14,VENKEYS,EQUITY,EQ,INE398A01010,1520.0,1534.9,1492.0,1502.4,1510.1,44070.0,66655304.1
2026-07-13,VENKEYS,EQUITY,EQ,INE398A01010,1485.0,1537.0,1460.3,1510.1,1485.7,105115.0,158558061.3
2026-07-10,VENKEYS,EQUITY,EQ,INE398A01010,1412.5,1502.0,1412.5,1485.7,1405.1,74907.0,110177160.0
2026-07-09,VENKEYS,EQUITY,EQ,INE398A01010,1410.0,1429.0,1399.1,1405.1,1401.5,17371.0,24576612.8
2026-07-08,VENKEYS,EQUITY,EQ,INE398A01010,1419.9,1469.9,1395.5,1401.5,1418.5,58799.0,84235516.5
2026-07-07,VENKEYS,EQUITY,EQ,INE398A01010,1433.9,1433.9,1405.8,1418.5,1426.6,15017.0,21324549.4
2026-07-06,VENKEYS,EQUITY,EQ,INE398A01010,1422.0,1433.8,1416.3,1426.6,1426.1,13252.0,18891340.0
2026-07-03,VENKEYS,EQUITY,EQ,INE398A01010,1432.0,1443.6,1405.0,1426.1,1430.1,39615.0,56305337.0
2026-07-02,VENKEYS,EQUITY,EQ,INE398A01010,1420.0,1437.5,1411.1,1430.1,1416.4,29675.0,42283254.9
2026-07-01,VENKEYS,EQUITY,EQ,INE398A01010,1430.0,1442.2,1411.0,1416.4,1431.8,18508.0,26363244.6
2026-06-30,VENKEYS,EQUITY,EQ,INE398A01010,1426.9,1439.7,1415.0,1431.8,1425.6,13516.0,19307376.5
2026-06-29,VENKEYS,EQUITY,EQ,INE398A01010,1429.8,1448.9,1411.3,1425.6,1421.5,14601.0,20791920.2
