trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,VIKRAMSOLR,EQUITY,EQ,INE078V01014,167.55,169.43,166.1,166.59,169.28,1713809.0,286235024.34
2026-09-08,VIKRAMSOLR,EQUITY,EQ,INE078V01014,166.0,169.8,165.1,169.28,165.81,1795539.0,300610672.01
2026-09-07,VIKRAMSOLR,EQUITY,EQ,INE078V01014,168.6,168.85,165.25,165.81,168.45,2014976.0,334931581.31
2026-09-04,VIKRAMSOLR,EQUITY,EQ,INE078V01014,173.0,175.6,167.85,168.45,171.65,3550735.0,608902886.21
2026-09-03,VIKRAMSOLR,EQUITY,EQ,INE078V01014,169.26,172.4,166.2,171.65,169.15,3622539.0,614106117.48
2026-09-02,VIKRAMSOLR,EQUITY,EQ,INE078V01014,169.45,170.0,166.64,169.15,169.67,1166360.0,196766709.37
2026-09-01,VIKRAMSOLR,EQUITY,EQ,INE078V01014,169.52,172.79,167.56,169.67,168.7,1232401.0,208913411.26
2026-08-31,VIKRAMSOLR,EQUITY,EQ,INE078V01014,171.97,172.7,168.2,168.7,172.71,1326868.0,224948492.55
2026-08-28,VIKRAMSOLR,EQUITY,EQ,INE078V01014,172.89,174.49,171.1,172.71,172.01,1282945.0,221644849.62
2026-08-27,VIKRAMSOLR,EQUITY,EQ,INE078V01014,172.14,176.3,171.03,172.01,171.85,2177845.0,378269862.66
2026-08-26,VIKRAMSOLR,EQUITY,EQ,INE078V01014,170.7,175.84,170.5,171.85,169.99,2231160.0,385134981.22
2026-08-25,VIKRAMSOLR,EQUITY,EQ,INE078V01014,172.5,172.73,169.31,169.99,172.02,1602097.0,273337764.69
2026-08-24,VIKRAMSOLR,EQUITY,EQ,INE078V01014,174.99,176.0,171.27,172.02,173.23,2190770.0,379098302.6
2026-08-21,VIKRAMSOLR,EQUITY,EQ,INE078V01014,172.9,178.15,171.5,173.23,171.99,3537515.0,617107597.81
2026-08-20,VIKRAMSOLR,EQUITY,EQ,INE078V01014,171.8,175.9,169.84,171.99,170.84,3958094.0,684770059.61
2026-08-19,VIKRAMSOLR,EQUITY,EQ,INE078V01014,177.95,177.95,170.02,170.84,177.11,5004577.0,863822947.9
2026-08-18,VIKRAMSOLR,EQUITY,EQ,INE078V01014,185.0,186.75,175.5,177.11,183.1,22684269.0,4103455596.52
2026-08-17,VIKRAMSOLR,EQUITY,EQ,INE078V01014,163.0,186.5,161.47,183.1,160.15,65091295.0,11693196052.16
2026-08-14,VIKRAMSOLR,EQUITY,EQ,INE078V01014,163.46,163.99,158.92,160.15,163.46,1545227.0,248077951.74
