trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-10,VIRINCHI,EQUITY,EQ,INE539B01017,14.15,14.25,14.02,14.16,14.17,55005.0,778078.42
2026-09-09,VIRINCHI,EQUITY,EQ,INE539B01017,14.36,14.36,14.0,14.17,14.05,36907.0,523043.1
2026-09-08,VIRINCHI,EQUITY,EQ,INE539B01017,14.3,14.74,13.75,14.05,14.31,133932.0,1893511.64
2026-09-07,VIRINCHI,EQUITY,EQ,INE539B01017,14.5,14.9,14.11,14.31,14.7,163647.0,2355652.09
2026-09-04,VIRINCHI,EQUITY,EQ,INE539B01017,14.85,15.08,14.38,14.7,14.86,115200.0,1687086.54
2026-09-03,VIRINCHI,EQUITY,EQ,INE539B01017,15.05,15.17,14.76,14.86,14.75,50726.0,754680.86
2026-09-02,VIRINCHI,EQUITY,EQ,INE539B01017,14.63,16.0,14.0,14.75,14.53,148532.0,2220564.82
2026-09-01,VIRINCHI,EQUITY,EQ,INE539B01017,14.61,14.99,14.5,14.53,14.66,69549.0,1019078.27
2026-08-31,VIRINCHI,EQUITY,EQ,INE539B01017,15.29,15.29,14.5,14.66,14.98,78258.0,1160172.65
2026-08-28,VIRINCHI,EQUITY,EQ,INE539B01017,15.5,15.5,14.85,14.98,15.1,66728.0,1005335.32
2026-08-27,VIRINCHI,EQUITY,EQ,INE539B01017,15.12,15.48,14.6,15.1,15.28,90020.0,1346290.22
2026-08-26,VIRINCHI,EQUITY,EQ,INE539B01017,15.06,15.65,15.06,15.28,15.53,34930.0,533399.79
2026-08-25,VIRINCHI,EQUITY,EQ,INE539B01017,14.83,15.7,14.83,15.53,15.14,48453.0,743188.15
2026-08-24,VIRINCHI,EQUITY,EQ,INE539B01017,15.28,15.55,15.0,15.14,15.55,116768.0,1776154.93
2026-08-21,VIRINCHI,EQUITY,EQ,INE539B01017,15.02,15.89,15.02,15.55,15.16,29659.0,452573.34
2026-08-20,VIRINCHI,EQUITY,EQ,INE539B01017,15.59,15.59,14.99,15.16,15.02,38065.0,576539.79
2026-08-19,VIRINCHI,EQUITY,EQ,INE539B01017,15.43,15.5,14.95,15.02,15.04,38360.0,585584.59
2026-08-18,VIRINCHI,EQUITY,EQ,INE539B01017,15.57,15.57,14.75,15.04,15.03,53428.0,807323.49
2026-08-17,VIRINCHI,EQUITY,EQ,INE539B01017,15.47,15.47,14.61,15.03,14.88,46547.0,699463.29
2026-08-14,VIRINCHI,EQUITY,EQ,INE539B01017,15.1,15.66,14.75,14.88,15.17,59473.0,893573.28
2026-08-13,VIRINCHI,EQUITY,EQ,INE539B01017,15.01,15.65,15.01,15.17,15.2,41574.0,634232.33
2026-08-12,VIRINCHI,EQUITY,EQ,INE539B01017,15.3,15.62,15.05,15.2,15.29,83123.0,1262923.99
2026-08-11,VIRINCHI,EQUITY,EQ,INE539B01017,15.63,15.8,15.17,15.29,15.63,69865.0,1072396.64
2026-08-10,VIRINCHI,EQUITY,EQ,INE539B01017,15.93,15.93,15.51,15.63,15.76,26330.0,412863.15
2026-08-07,VIRINCHI,EQUITY,EQ,INE539B01017,15.5,15.9,15.49,15.76,15.49,45034.0,709606.68
2026-08-06,VIRINCHI,EQUITY,EQ,INE539B01017,15.79,15.86,15.35,15.49,15.72,87375.0,1356768.28
2026-08-05,VIRINCHI,EQUITY,EQ,INE539B01017,15.51,15.9,15.51,15.72,15.61,55368.0,870162.71
2026-08-04,VIRINCHI,EQUITY,EQ,INE539B01017,15.9,15.9,15.33,15.61,15.32,42817.0,671182.33
2026-08-03,VIRINCHI,EQUITY,EQ,INE539B01017,15.64,15.64,15.12,15.32,15.2,69383.0,1061304.41
2026-07-31,VIRINCHI,EQUITY,EQ,INE539B01017,15.8,15.99,15.0,15.2,15.49,43889.0,675009.73
2026-07-30,VIRINCHI,EQUITY,EQ,INE539B01017,15.58,15.69,15.36,15.49,15.57,32255.0,502656.25
2026-07-29,VIRINCHI,EQUITY,EQ,INE539B01017,15.41,15.82,15.32,15.57,15.48,63697.0,992330.54
2026-07-28,VIRINCHI,EQUITY,EQ,INE539B01017,15.8,15.88,15.36,15.48,15.49,26155.0,406512.16
2026-07-27,VIRINCHI,EQUITY,EQ,INE539B01017,15.51,16.0,15.43,15.49,15.53,40417.0,627355.38
2026-07-24,VIRINCHI,EQUITY,EQ,INE539B01017,15.63,15.8,15.12,15.53,15.63,32597.0,503420.89
2026-07-23,VIRINCHI,EQUITY,EQ,INE539B01017,16.0,16.0,15.5,15.63,15.72,22912.0,359202.4
2026-07-22,VIRINCHI,EQUITY,EQ,INE539B01017,15.88,16.1,15.63,15.72,15.73,26582.0,418783.66
2026-07-21,VIRINCHI,EQUITY,EQ,INE539B01017,16.56,16.56,15.7,15.73,16.24,35662.0,568373.09
2026-07-20,VIRINCHI,EQUITY,EQ,INE539B01017,15.2,16.92,15.2,16.24,15.39,84911.0,1372241.02
2026-07-17,VIRINCHI,EQUITY,EQ,INE539B01017,15.79,15.8,15.28,15.39,15.43,40133.0,620752.34
2026-07-16,VIRINCHI,EQUITY,EQ,INE539B01017,15.65,15.8,15.25,15.43,15.4,36294.0,559280.68
2026-07-15,VIRINCHI,EQUITY,EQ,INE539B01017,15.8,15.95,15.3,15.4,15.79,53783.0,840291.51
2026-07-14,VIRINCHI,EQUITY,EQ,INE539B01017,15.9,16.44,15.55,15.79,15.97,62651.0,1002055.86
2026-07-13,VIRINCHI,EQUITY,EQ,INE539B01017,16.4,16.4,15.88,15.97,16.03,42590.0,684975.77
2026-07-10,VIRINCHI,EQUITY,EQ,INE539B01017,15.5,16.36,15.5,16.03,15.5,96717.0,1549252.32
2026-07-09,VIRINCHI,EQUITY,EQ,INE539B01017,15.65,15.94,15.07,15.5,15.42,76791.0,1181026.13
2026-07-08,VIRINCHI,EQUITY,EQ,INE539B01017,15.45,16.27,15.17,15.42,15.89,46150.0,720006.15
2026-07-07,VIRINCHI,EQUITY,EQ,INE539B01017,16.4,16.4,15.78,15.89,16.15,58308.0,931749.14
2026-07-06,VIRINCHI,EQUITY,EQ,INE539B01017,16.26,16.69,16.01,16.15,16.18,51188.0,829092.76
2026-07-03,VIRINCHI,EQUITY,EQ,INE539B01017,16.58,16.7,16.1,16.18,16.58,69642.0,1138801.95
2026-07-02,VIRINCHI,EQUITY,EQ,INE539B01017,16.39,16.89,16.39,16.58,16.39,40446.0,673160.78
2026-07-01,VIRINCHI,EQUITY,EQ,INE539B01017,16.2,16.74,16.2,16.39,16.2,35861.0,589317.11
2026-06-30,VIRINCHI,EQUITY,EQ,INE539B01017,16.43,16.9,16.13,16.2,16.43,47933.0,782773.69
2026-06-29,VIRINCHI,EQUITY,EQ,INE539B01017,16.99,16.99,16.36,16.43,16.86,40066.0,661127.48
2026-06-25,VIRINCHI,EQUITY,EQ,INE539B01017,16.23,17.24,16.23,16.86,16.83,13753.0,230583.45
2026-06-24,VIRINCHI,EQUITY,EQ,INE539B01017,17.0,17.0,16.6,16.83,16.57,21757.0,365246.9
2026-06-23,VIRINCHI,EQUITY,EQ,INE539B01017,17.12,17.12,16.55,16.57,16.87,43757.0,733070.63
2026-06-22,VIRINCHI,EQUITY,EQ,INE539B01017,16.83,17.39,16.83,16.87,16.83,72664.0,1240239.73
2026-06-19,VIRINCHI,EQUITY,EQ,INE539B01017,16.84,17.09,16.71,16.83,16.84,29503.0,497660.87
2026-06-18,VIRINCHI,EQUITY,EQ,INE539B01017,17.08,17.3,16.65,16.84,17.14,86690.0,1465865.53
2026-06-17,VIRINCHI,EQUITY,EQ,INE539B01017,17.7,17.7,16.95,17.14,17.22,182558.0,3134425.01
2026-06-16,VIRINCHI,EQUITY,EQ,INE539B01017,15.66,17.22,15.66,17.22,15.66,298906.0,5059169.85
