trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,VTMLTD,EQUITY,EQ,INE222F01029,55.26,57.98,54.0,55.8,56.58,6773.0,381051.98
2026-09-08,VTMLTD,EQUITY,EQ,INE222F01029,56.88,57.0,55.35,56.58,56.49,2878.0,162503.02
2026-09-07,VTMLTD,EQUITY,EQ,INE222F01029,58.9,58.9,55.5,56.49,56.12,10946.0,624746.28
2026-09-04,VTMLTD,EQUITY,EQ,INE222F01029,56.29,57.7,55.3,56.12,56.57,3172.0,180189.41
2026-09-03,VTMLTD,EQUITY,EQ,INE222F01029,59.5,59.5,56.48,56.57,57.73,15018.0,856462.01
2026-09-02,VTMLTD,EQUITY,EQ,INE222F01029,58.12,59.3,57.25,57.73,59.43,14672.0,857049.25
2026-09-01,VTMLTD,EQUITY,EQ,INE222F01029,58.5,61.0,57.05,59.43,57.04,100555.0,5976634.81
2026-08-31,VTMLTD,EQUITY,EQ,INE222F01029,60.29,61.9,56.69,57.04,58.2,109109.0,6489927.16
2026-08-28,VTMLTD,EQUITY,EQ,INE222F01029,58.39,58.9,56.55,58.2,56.47,86409.0,4982708.74
2026-08-27,VTMLTD,EQUITY,EQ,INE222F01029,54.47,57.8,53.3,56.47,53.71,86749.0,4788322.39
2026-08-26,VTMLTD,EQUITY,EQ,INE222F01029,54.83,54.84,52.0,53.71,53.07,24503.0,1309538.47
2026-08-25,VTMLTD,EQUITY,EQ,INE222F01029,50.68,53.49,50.0,53.07,49.33,67986.0,3541934.89
2026-08-24,VTMLTD,EQUITY,EQ,INE222F01029,46.2,49.9,46.2,49.33,46.13,34390.0,1650129.24
2026-08-21,VTMLTD,EQUITY,EQ,INE222F01029,46.16,46.6,45.45,46.13,46.17,27848.0,1285902.44
2026-08-20,VTMLTD,EQUITY,EQ,INE222F01029,46.06,47.0,44.5,46.17,46.34,31479.0,1447738.0
2026-08-19,VTMLTD,EQUITY,EQ,INE222F01029,46.76,47.5,45.0,46.34,46.79,56854.0,2625053.48
2026-08-18,VTMLTD,EQUITY,EQ,INE222F01029,47.99,48.5,46.58,46.79,46.94,10316.0,486886.21
2026-08-17,VTMLTD,EQUITY,EQ,INE222F01029,47.0,50.0,46.0,46.94,46.78,9109.0,436869.82
