trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,WILLAMAGOR,EQUITY,EQ,INE210A01017,24.61,24.61,23.5,24.18,24.49,593.0,14151.04
2026-09-10,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.0,25.0,23.58,24.49,24.02,6072.0,145580.04
2026-09-09,WILLAMAGOR,EQUITY,EQ,INE210A01017,24.64,24.64,23.61,24.02,23.73,1616.0,38297.8
2026-09-08,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.35,25.35,23.6,23.73,23.76,2699.0,65647.04
2026-09-07,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.4,25.4,23.5,23.76,25.4,10152.0,248738.98
2026-09-04,WILLAMAGOR,EQUITY,EQ,INE210A01017,26.5,26.5,24.0,25.4,24.58,4157.0,103049.36
2026-09-03,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.44,25.44,24.2,24.58,24.69,6044.0,152123.48
2026-09-02,WILLAMAGOR,EQUITY,EQ,INE210A01017,24.7,24.7,24.05,24.69,23.74,705.0,17207.05
2026-09-01,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.3,25.3,23.52,23.74,23.75,1456.0,35671.86
2026-08-31,WILLAMAGOR,EQUITY,EQ,INE210A01017,24.07,25.49,23.52,23.75,24.0,5064.0,120298.74
2026-08-28,WILLAMAGOR,EQUITY,EQ,INE210A01017,24.58,26.0,23.62,24.0,24.1,2961.0,71383.45
2026-08-27,WILLAMAGOR,EQUITY,EQ,INE210A01017,24.0,24.35,24.0,24.1,24.05,90.0,2161.25
2026-08-26,WILLAMAGOR,EQUITY,EQ,INE210A01017,27.0,27.0,23.5,24.05,24.47,7688.0,184845.3
2026-08-25,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.75,25.75,24.03,24.47,24.87,5669.0,140893.56
2026-08-24,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.04,25.76,24.1,24.87,25.04,778.0,19083.03
2026-08-21,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.35,25.89,24.1,25.04,24.85,2236.0,55809.97
2026-08-20,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.1,25.72,24.5,24.85,24.52,1880.0,47283.64
2026-08-19,WILLAMAGOR,EQUITY,EQ,INE210A01017,26.9,26.9,24.0,24.52,25.15,8072.0,196111.4
2026-08-18,WILLAMAGOR,EQUITY,EQ,INE210A01017,26.0,26.0,24.99,25.15,24.93,2813.0,71562.39
2026-08-17,WILLAMAGOR,EQUITY,EQ,INE210A01017,24.56,25.02,24.56,24.93,25.06,1398.0,34892.91
2026-08-14,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.58,25.58,24.52,25.06,25.98,6216.0,155681.44
2026-08-13,WILLAMAGOR,EQUITY,EQ,INE210A01017,26.9,26.9,25.45,25.98,26.25,2557.0,66364.84
2026-08-12,WILLAMAGOR,EQUITY,EQ,INE210A01017,26.8,26.8,25.85,26.25,25.4,517.0,13368.32
2026-08-11,WILLAMAGOR,EQUITY,EQ,INE210A01017,26.0,26.43,24.7,25.4,26.49,13087.0,330230.23
2026-08-10,WILLAMAGOR,EQUITY,EQ,INE210A01017,29.8,29.8,25.75,26.49,26.41,7487.0,202455.65
2026-08-07,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.34,27.24,25.34,26.41,25.25,396.0,10355.62
2026-08-06,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.5,26.55,25.0,25.25,25.47,626.0,15783.95
2026-08-05,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.9,25.9,25.25,25.47,25.6,1041.0,26379.33
2026-08-04,WILLAMAGOR,EQUITY,EQ,INE210A01017,26.57,26.57,25.6,25.6,26.57,1487.0,38183.47
2026-08-03,WILLAMAGOR,EQUITY,EQ,INE210A01017,27.0,27.0,25.11,26.57,25.21,2370.0,62795.33
2026-07-31,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.21,25.47,25.21,25.21,25.3,110.0,2788.16
2026-07-30,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.27,26.31,25.27,25.3,25.0,111.0,2847.11
2026-07-29,WILLAMAGOR,EQUITY,EQ,INE210A01017,26.89,26.89,24.64,25.0,25.96,3182.0,83975.45
2026-07-28,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.01,26.17,24.55,25.96,25.45,813.0,20741.4
2026-07-27,WILLAMAGOR,EQUITY,EQ,INE210A01017,25.27,26.78,25.0,25.45,25.27,1940.0,49050.16
