trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,WONDERLA,EQUITY,EQ,INE066O01014,518.75,530.45,504.1,520.95,519.05,73285.0,38155810.2
2026-09-10,WONDERLA,EQUITY,EQ,INE066O01014,519.0,521.45,517.15,519.05,517.1,17917.0,9302798.55
2026-09-09,WONDERLA,EQUITY,EQ,INE066O01014,519.4,524.95,510.2,517.1,518.4,29909.0,15425263.2
2026-09-08,WONDERLA,EQUITY,EQ,INE066O01014,528.6,532.0,515.0,518.4,526.3,43440.0,22707783.05
2026-09-07,WONDERLA,EQUITY,EQ,INE066O01014,538.6,538.6,521.1,526.3,533.9,40911.0,21565677.75
2026-09-04,WONDERLA,EQUITY,EQ,INE066O01014,525.0,536.7,520.0,533.9,525.25,74859.0,39601312.5
2026-09-03,WONDERLA,EQUITY,EQ,INE066O01014,537.0,537.0,522.85,525.25,529.55,36306.0,19153194.05
2026-09-02,WONDERLA,EQUITY,EQ,INE066O01014,543.95,543.95,524.75,529.55,536.25,66709.0,35475762.65
2026-09-01,WONDERLA,EQUITY,EQ,INE066O01014,538.0,541.6,532.05,536.25,537.25,47864.0,25734063.65
2026-08-31,WONDERLA,EQUITY,EQ,INE066O01014,540.35,542.55,530.05,537.25,537.1,81829.0,43972164.95
2026-08-28,WONDERLA,EQUITY,EQ,INE066O01014,546.45,555.0,532.8,537.1,542.25,199353.0,108738034.65
2026-08-27,WONDERLA,EQUITY,EQ,INE066O01014,515.2,547.0,515.0,542.25,516.05,318827.0,170403250.8
2026-08-26,WONDERLA,EQUITY,EQ,INE066O01014,513.75,520.7,513.75,516.05,513.75,59250.0,30651429.2
2026-08-25,WONDERLA,EQUITY,EQ,INE066O01014,517.7,520.45,512.0,513.75,511.95,122345.0,63098658.15
2026-08-24,WONDERLA,EQUITY,EQ,INE066O01014,528.0,532.7,511.15,511.95,519.2,306086.0,160334103.6
2026-08-21,WONDERLA,EQUITY,EQ,INE066O01014,490.95,524.95,490.2,519.2,490.1,513327.0,262219202.0
2026-08-20,WONDERLA,EQUITY,EQ,INE066O01014,484.9,498.9,480.35,490.1,480.95,509660.0,248770115.2
2026-08-19,WONDERLA,EQUITY,EQ,INE066O01014,474.05,484.95,472.0,480.95,476.0,125120.0,59968259.6
2026-08-18,WONDERLA,EQUITY,EQ,INE066O01014,468.7,486.0,468.05,476.0,468.7,149025.0,71113396.35
2026-08-17,WONDERLA,EQUITY,EQ,INE066O01014,468.25,473.7,466.85,468.7,468.25,130727.0,61509110.6
2026-08-14,WONDERLA,EQUITY,EQ,INE066O01014,469.05,475.4,466.45,468.25,470.85,84053.0,39662970.9
2026-08-13,WONDERLA,EQUITY,EQ,INE066O01014,468.5,476.7,461.0,470.85,470.05,89632.0,42279080.4
2026-08-12,WONDERLA,EQUITY,EQ,INE066O01014,479.1,480.3,468.8,470.05,481.5,142721.0,67282028.25
2026-08-11,WONDERLA,EQUITY,EQ,INE066O01014,489.7,489.7,478.15,481.5,484.5,66864.0,32244453.65
2026-08-10,WONDERLA,EQUITY,EQ,INE066O01014,493.5,493.5,482.6,484.5,493.15,79196.0,38532812.6
2026-08-07,WONDERLA,EQUITY,EQ,INE066O01014,485.2,496.2,481.2,493.15,485.8,95481.0,46764279.7
2026-08-06,WONDERLA,EQUITY,EQ,INE066O01014,505.5,507.95,482.15,485.8,503.05,378148.0,186158968.35
2026-08-05,WONDERLA,EQUITY,EQ,INE066O01014,522.0,522.0,501.85,503.05,508.85,227287.0,115464491.9
2026-08-04,WONDERLA,EQUITY,EQ,INE066O01014,485.0,522.5,481.1,508.85,485.2,1330442.0,668780359.05
2026-08-03,WONDERLA,EQUITY,EQ,INE066O01014,480.0,488.9,480.0,485.2,477.7,47508.0,23017143.5
2026-07-31,WONDERLA,EQUITY,EQ,INE066O01014,475.95,484.0,466.3,477.7,472.85,44020.0,20974429.55
2026-07-30,WONDERLA,EQUITY,EQ,INE066O01014,470.6,474.85,464.05,472.85,469.0,20346.0,9586347.25
2026-07-29,WONDERLA,EQUITY,EQ,INE066O01014,462.85,470.0,462.0,469.0,461.6,27440.0,12798622.55
2026-07-28,WONDERLA,EQUITY,EQ,INE066O01014,466.2,470.0,460.25,461.6,467.75,43045.0,19999432.9
2026-07-27,WONDERLA,EQUITY,EQ,INE066O01014,474.85,475.15,466.1,467.75,468.75,29812.0,14028597.0
2026-07-24,WONDERLA,EQUITY,EQ,INE066O01014,464.0,470.85,456.2,468.75,464.6,50265.0,23268089.1
2026-07-23,WONDERLA,EQUITY,EQ,INE066O01014,468.15,474.9,461.1,464.6,471.7,43227.0,20234944.15
2026-07-22,WONDERLA,EQUITY,EQ,INE066O01014,472.3,474.9,466.05,471.7,472.3,31623.0,14871172.35
2026-07-21,WONDERLA,EQUITY,EQ,INE066O01014,470.8,474.9,466.6,472.3,470.8,17021.0,8012402.35
2026-07-20,WONDERLA,EQUITY,EQ,INE066O01014,473.7,473.7,461.0,470.8,469.7,26952.0,12640890.6
2026-07-17,WONDERLA,EQUITY,EQ,INE066O01014,470.0,472.0,462.3,469.7,470.25,34621.0,16163173.45
2026-07-16,WONDERLA,EQUITY,EQ,INE066O01014,470.6,473.45,466.2,470.25,470.15,34340.0,16108895.5
2026-07-15,WONDERLA,EQUITY,EQ,INE066O01014,474.0,474.0,468.0,470.15,470.25,23466.0,11037427.0
2026-07-14,WONDERLA,EQUITY,EQ,INE066O01014,472.0,477.8,468.1,470.25,472.45,29766.0,14014551.2
2026-07-13,WONDERLA,EQUITY,EQ,INE066O01014,474.2,479.0,465.4,472.45,474.25,74135.0,34884223.5
2026-07-10,WONDERLA,EQUITY,EQ,INE066O01014,477.0,477.0,469.0,474.25,469.1,30773.0,14555159.55
2026-07-09,WONDERLA,EQUITY,EQ,INE066O01014,467.0,475.0,463.8,469.1,464.7,61566.0,28874604.5
2026-07-08,WONDERLA,EQUITY,EQ,INE066O01014,485.0,485.9,461.65,464.7,489.65,162520.0,76606175.9
2026-07-07,WONDERLA,EQUITY,EQ,INE066O01014,494.85,494.85,485.0,489.65,492.7,20480.0,10019398.35
2026-07-06,WONDERLA,EQUITY,EQ,INE066O01014,499.25,500.45,490.0,492.7,499.25,30180.0,14924006.1
2026-07-03,WONDERLA,EQUITY,EQ,INE066O01014,494.6,502.0,493.0,499.25,494.6,69318.0,34569974.6
2026-07-02,WONDERLA,EQUITY,EQ,INE066O01014,497.7,499.95,490.05,494.6,497.7,126787.0,62706952.1
2026-07-01,WONDERLA,EQUITY,EQ,INE066O01014,494.8,503.7,490.35,497.7,495.15,36360.0,18070791.55
2026-06-30,WONDERLA,EQUITY,EQ,INE066O01014,497.85,499.1,493.75,495.15,497.35,21047.0,10440140.55
2026-06-29,WONDERLA,EQUITY,EQ,INE066O01014,500.0,504.0,494.0,497.35,495.8,38344.0,19057471.3
2026-06-25,WONDERLA,EQUITY,EQ,INE066O01014,492.85,500.0,491.3,495.8,492.85,38731.0,19188634.4
2026-06-24,WONDERLA,EQUITY,EQ,INE066O01014,491.0,495.0,488.05,492.85,495.25,54010.0,26557203.1
2026-06-23,WONDERLA,EQUITY,EQ,INE066O01014,492.0,499.0,486.55,495.25,488.8,81744.0,40309808.1
2026-06-22,WONDERLA,EQUITY,EQ,INE066O01014,481.0,493.0,472.6,488.8,480.7,86141.0,41719156.2
2026-06-19,WONDERLA,EQUITY,EQ,INE066O01014,484.55,485.0,475.05,480.7,482.05,49094.0,23517464.05
2026-06-18,WONDERLA,EQUITY,EQ,INE066O01014,487.35,493.9,475.65,482.05,487.35,67457.0,32758811.45
2026-06-17,WONDERLA,EQUITY,EQ,INE066O01014,489.5,499.0,476.5,487.35,488.7,90317.0,44206157.25
2026-06-16,WONDERLA,EQUITY,EQ,INE066O01014,490.0,490.0,485.25,488.7,486.9,19417.0,9469467.8
2026-06-15,WONDERLA,EQUITY,EQ,INE066O01014,483.7,488.8,480.0,486.9,478.25,36459.0,17657558.0
2026-06-12,WONDERLA,EQUITY,EQ,INE066O01014,465.6,482.0,465.6,478.25,465.6,21066.0,10029288.0
2026-06-11,WONDERLA,EQUITY,EQ,INE066O01014,470.0,473.0,465.0,465.6,473.4,25904.0,12128527.6
2026-06-10,WONDERLA,EQUITY,EQ,INE066O01014,478.0,479.0,470.65,473.4,477.55,21899.0,10412758.9
2026-06-09,WONDERLA,EQUITY,EQ,INE066O01014,468.7,488.0,466.0,477.55,468.25,28350.0,13358079.8
2026-06-08,WONDERLA,EQUITY,EQ,INE066O01014,475.0,475.0,461.95,468.25,475.9,55102.0,25737625.9
2026-06-05,WONDERLA,EQUITY,EQ,INE066O01014,475.0,479.45,471.05,475.9,474.7,25826.0,12269118.1
2026-06-04,WONDERLA,EQUITY,EQ,INE066O01014,474.15,475.05,468.7,474.7,474.15,33444.0,15813650.65
2026-06-03,WONDERLA,EQUITY,EQ,INE066O01014,472.7,475.7,468.65,474.15,474.35,26664.0,12580953.35
2026-06-02,WONDERLA,EQUITY,EQ,INE066O01014,474.25,475.15,467.65,474.35,474.25,23163.0,10925345.2
2026-06-01,WONDERLA,EQUITY,EQ,INE066O01014,474.1,481.45,472.8,474.25,474.4,29221.0,13895430.5
2026-05-29,WONDERLA,EQUITY,EQ,INE066O01014,485.65,489.65,473.0,474.4,485.65,69233.0,33022066.6
2026-05-27,WONDERLA,EQUITY,EQ,INE066O01014,488.05,493.0,478.1,485.65,482.75,70753.0,34298194.15
2026-05-26,WONDERLA,EQUITY,EQ,INE066O01014,481.3,488.0,477.15,482.75,481.3,37796.0,18288522.55
2026-05-25,WONDERLA,EQUITY,EQ,INE066O01014,490.2,490.95,474.8,481.3,481.3,56210.0,27089961.6
2026-05-22,WONDERLA,EQUITY,EQ,INE066O01014,487.55,487.55,477.7,481.3,487.55,39993.0,19225565.2
2026-05-21,WONDERLA,EQUITY,EQ,INE066O01014,487.0,489.3,483.0,487.55,487.0,25078.0,12194311.8
2026-05-20,WONDERLA,EQUITY,EQ,INE066O01014,478.0,489.4,474.25,487.0,478.7,30824.0,14870989.05
2026-05-19,WONDERLA,EQUITY,EQ,INE066O01014,480.4,483.05,477.0,478.7,479.7,41408.0,19902855.4
2026-05-18,WONDERLA,EQUITY,EQ,INE066O01014,471.5,483.45,464.1,479.7,472.5,86517.0,41109977.15
2026-05-15,WONDERLA,EQUITY,EQ,INE066O01014,485.0,487.0,466.5,472.5,482.45,74532.0,35467983.5
2026-05-14,WONDERLA,EQUITY,EQ,INE066O01014,484.0,486.0,476.5,482.45,483.2,51082.0,24565658.95
2026-05-13,WONDERLA,EQUITY,EQ,INE066O01014,475.0,488.95,474.05,483.2,479.6,50366.0,24275755.45
2026-05-12,WONDERLA,EQUITY,EQ,INE066O01014,481.0,494.3,474.1,479.6,486.7,157482.0,76366237.75
2026-05-11,WONDERLA,EQUITY,EQ,INE066O01014,507.45,508.75,485.0,486.7,507.45,202331.0,99263777.35
2026-05-08,WONDERLA,EQUITY,EQ,INE066O01014,530.75,533.9,498.7,507.45,526.55,422691.0,215787304.25
2026-05-07,WONDERLA,EQUITY,EQ,INE066O01014,527.45,561.5,515.0,526.55,529.1,1233552.0,665396267.2
2026-05-06,WONDERLA,EQUITY,EQ,INE066O01014,529.35,533.4,526.1,529.1,525.9,93215.0,49348823.8
2026-05-05,WONDERLA,EQUITY,EQ,INE066O01014,531.85,545.0,520.3,525.9,530.35,77316.0,40677887.5
2026-05-04,WONDERLA,EQUITY,EQ,INE066O01014,525.85,534.9,524.6,530.35,527.4,44976.0,23817871.95
2026-04-30,WONDERLA,EQUITY,EQ,INE066O01014,526.65,532.8,518.0,527.4,526.65,46381.0,24347287.95
2026-04-29,WONDERLA,EQUITY,EQ,INE066O01014,534.0,534.0,523.95,526.65,526.0,26201.0,13802719.9
2026-04-28,WONDERLA,EQUITY,EQ,INE066O01014,534.95,534.95,522.0,526.0,528.85,47609.0,25056789.8
2026-04-27,WONDERLA,EQUITY,EQ,INE066O01014,530.0,537.0,523.8,528.85,525.9,80077.0,42474165.95
2026-04-24,WONDERLA,EQUITY,EQ,INE066O01014,526.0,536.0,518.5,525.9,529.85,72551.0,38036062.85
2026-04-23,WONDERLA,EQUITY,EQ,INE066O01014,525.05,534.9,525.05,529.85,531.0,39326.0,20901775.15
2026-04-22,WONDERLA,EQUITY,EQ,INE066O01014,525.0,537.95,525.0,531.0,527.4,73069.0,38818657.4
2026-04-21,WONDERLA,EQUITY,EQ,INE066O01014,529.05,535.05,524.0,527.4,529.45,92731.0,49012576.8
2026-04-20,WONDERLA,EQUITY,EQ,INE066O01014,552.45,552.45,527.4,529.45,550.3,116685.0,62123899.55
2026-04-17,WONDERLA,EQUITY,EQ,INE066O01014,570.0,570.0,548.1,550.3,561.0,90675.0,50228194.95
2026-04-16,WONDERLA,EQUITY,EQ,INE066O01014,564.0,572.9,551.05,561.0,555.9,90066.0,50601116.85
2026-04-15,WONDERLA,EQUITY,EQ,INE066O01014,551.0,560.0,542.1,555.9,539.45,85196.0,47038342.45
2026-04-13,WONDERLA,EQUITY,EQ,INE066O01014,532.0,549.5,525.4,539.45,538.85,44463.0,24022180.35
2026-04-10,WONDERLA,EQUITY,EQ,INE066O01014,547.05,551.6,536.35,538.85,537.65,35749.0,19499653.25
2026-04-09,WONDERLA,EQUITY,EQ,INE066O01014,530.0,545.0,527.0,537.65,535.45,45356.0,24403422.15
2026-04-08,WONDERLA,EQUITY,EQ,INE066O01014,539.0,547.95,529.15,535.45,525.5,68663.0,36978930.25
2026-04-07,WONDERLA,EQUITY,EQ,INE066O01014,518.35,533.45,511.0,525.5,518.35,91935.0,48071429.55
2026-04-06,WONDERLA,EQUITY,EQ,INE066O01014,520.05,529.95,511.55,518.35,529.05,85313.0,44502194.5
2026-04-02,WONDERLA,EQUITY,EQ,INE066O01014,518.0,532.45,509.3,529.05,522.75,36971.0,19286735.7
2026-04-01,WONDERLA,EQUITY,EQ,INE066O01014,509.8,525.0,500.85,522.75,485.8,58859.0,30342091.65
2026-03-30,WONDERLA,EQUITY,EQ,INE066O01014,480.0,520.0,476.55,485.8,491.45,125329.0,61139669.9
2026-03-27,WONDERLA,EQUITY,EQ,INE066O01014,505.0,506.45,489.9,491.45,507.2,118869.0,59128528.85
2026-03-25,WONDERLA,EQUITY,EQ,INE066O01014,505.95,518.45,505.0,507.2,500.95,75983.0,38678188.45
2026-03-24,WONDERLA,EQUITY,EQ,INE066O01014,518.0,520.0,498.5,500.95,508.4,78115.0,39353836.5
2026-03-23,WONDERLA,EQUITY,EQ,INE066O01014,518.5,518.55,502.0,508.4,520.25,82791.0,42078547.75
2026-03-20,WONDERLA,EQUITY,EQ,INE066O01014,518.2,529.5,517.15,520.25,515.45,55926.0,29259351.2
2026-03-19,WONDERLA,EQUITY,EQ,INE066O01014,516.0,526.0,511.2,515.45,519.6,52649.0,27329975.8
2026-03-18,WONDERLA,EQUITY,EQ,INE066O01014,505.65,522.0,504.95,519.6,508.45,36466.0,18806312.4
2026-03-17,WONDERLA,EQUITY,EQ,INE066O01014,515.05,524.1,503.1,508.45,514.75,47789.0,24567352.9
2026-03-16,WONDERLA,EQUITY,EQ,INE066O01014,519.6,519.6,502.0,514.75,519.6,76463.0,38982447.35
2026-03-13,WONDERLA,EQUITY,EQ,INE066O01014,523.0,532.75,516.0,519.6,523.9,70645.0,37088004.65
2026-03-12,WONDERLA,EQUITY,EQ,INE066O01014,519.0,529.75,514.4,523.9,523.8,32088.0,16780491.85
