trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2025-04-08,ZOMATO,EQUITY,EQ,INE758T01015,213.19,219.19,210.81,215.19,209.63,62002510.0,13351193760.76
2025-04-07,ZOMATO,EQUITY,EQ,INE758T01015,196.0,211.0,194.8,209.63,210.53,64932923.0,13341895638.2
2025-04-04,ZOMATO,EQUITY,EQ,INE758T01015,211.84,212.58,205.67,210.53,210.9,48296676.0,10117471819.2
2025-04-03,ZOMATO,EQUITY,EQ,INE758T01015,208.15,214.0,208.0,210.9,212.03,44447473.0,9401128837.48
2025-04-02,ZOMATO,EQUITY,EQ,INE758T01015,203.5,212.6,202.0,212.03,202.01,59441448.0,12355907874.91
2025-04-01,ZOMATO,EQUITY,EQ,INE758T01015,201.7,205.0,198.85,202.01,201.7,63369467.0,12793574019.85
2025-03-28,ZOMATO,EQUITY,EQ,INE758T01015,204.24,209.9,200.5,201.7,206.28,74842762.0,15299765438.29
2025-03-27,ZOMATO,EQUITY,EQ,INE758T01015,204.47,208.75,200.37,206.28,203.29,400414753.0,82400147801.58
2025-03-26,ZOMATO,EQUITY,EQ,INE758T01015,202.35,206.9,199.92,203.29,209.81,114342130.0,23312857118.08
2025-03-25,ZOMATO,EQUITY,EQ,INE758T01015,223.8,225.1,209.0,209.81,222.8,84184995.0,17966220990.5
2025-03-24,ZOMATO,EQUITY,EQ,INE758T01015,228.8,230.2,222.2,222.8,227.52,41920679.0,9434393719.25
2025-03-21,ZOMATO,EQUITY,EQ,INE758T01015,220.0,228.85,220.0,227.52,224.47,113328549.0,25602736121.47
2025-03-20,ZOMATO,EQUITY,EQ,INE758T01015,226.0,228.0,221.87,224.47,223.53,61376776.0,13793810551.36
2025-03-19,ZOMATO,EQUITY,EQ,INE758T01015,218.5,227.5,218.5,223.53,218.19,65519150.0,14701655217.63
2025-03-18,ZOMATO,EQUITY,EQ,INE758T01015,204.28,219.1,204.28,218.19,203.69,79201906.0,16928573546.83
2025-03-17,ZOMATO,EQUITY,EQ,INE758T01015,200.0,207.2,199.17,203.69,201.43,48729405.0,9935325477.68
2025-03-13,ZOMATO,EQUITY,EQ,INE758T01015,208.2,208.6,200.2,201.43,205.46,60780855.0,12398380094.37
2025-03-12,ZOMATO,EQUITY,EQ,INE758T01015,209.09,212.5,201.2,205.46,208.07,80010768.0,16411613880.98
2025-03-11,ZOMATO,EQUITY,EQ,INE758T01015,205.01,210.42,199.8,208.07,211.28,122391053.0,25042091435.9
2025-03-10,ZOMATO,EQUITY,EQ,INE758T01015,217.41,219.09,210.55,211.28,216.83,62786821.0,13396732461.19
2025-03-07,ZOMATO,EQUITY,EQ,INE758T01015,223.89,224.65,216.0,216.83,225.43,43864788.0,9639673208.2
2025-03-06,ZOMATO,EQUITY,EQ,INE758T01015,231.44,231.44,224.5,225.43,227.02,31864115.0,7245036037.57
2025-03-05,ZOMATO,EQUITY,EQ,INE758T01015,229.0,231.75,225.36,227.02,227.61,33095222.0,7549985171.54
2025-03-04,ZOMATO,EQUITY,EQ,INE758T01015,220.6,229.66,218.7,227.61,222.14,40794122.0,9247507891.87
2025-03-03,ZOMATO,EQUITY,EQ,INE758T01015,222.05,225.58,215.25,222.14,222.1,33262928.0,7337106835.31
2025-02-28,ZOMATO,EQUITY,EQ,INE758T01015,226.0,228.46,217.82,222.1,229.04,115467128.0,25700617574.24
2025-02-27,ZOMATO,EQUITY,EQ,INE758T01015,226.0,229.74,225.05,229.04,225.63,33845022.0,7697304414.55
2025-02-25,ZOMATO,EQUITY,EQ,INE758T01015,224.2,230.18,223.05,225.63,222.69,48478366.0,11022488332.55
2025-02-24,ZOMATO,EQUITY,EQ,INE758T01015,219.98,227.8,219.98,222.69,230.36,43335473.0,9727901617.03
2025-02-21,ZOMATO,EQUITY,EQ,INE758T01015,233.0,238.73,228.87,230.36,233.93,36768250.0,8545689653.9
2025-02-20,ZOMATO,EQUITY,EQ,INE758T01015,231.5,236.65,230.11,233.93,234.1,27119319.0,6344459408.22
2025-02-19,ZOMATO,EQUITY,EQ,INE758T01015,220.6,234.6,220.0,234.1,223.31,47896911.0,11068436661.34
2025-02-18,ZOMATO,EQUITY,EQ,INE758T01015,220.0,224.6,216.52,223.31,218.53,35519896.0,7847078156.71
2025-02-17,ZOMATO,EQUITY,EQ,INE758T01015,213.19,219.13,210.51,218.53,215.99,23560419.0,5108219452.16
2025-02-14,ZOMATO,EQUITY,EQ,INE758T01015,218.54,219.72,213.44,215.99,217.87,32738152.0,7079678971.18
2025-02-13,ZOMATO,EQUITY,EQ,INE758T01015,218.01,220.44,216.47,217.87,214.7,25633804.0,5603010522.89
2025-02-12,ZOMATO,EQUITY,EQ,INE758T01015,213.01,219.35,206.75,214.7,215.45,86778158.0,18475869012.4
2025-02-11,ZOMATO,EQUITY,EQ,INE758T01015,227.0,227.24,213.37,215.45,227.25,71258339.0,15477340198.51
2025-02-10,ZOMATO,EQUITY,EQ,INE758T01015,233.35,234.89,224.75,227.25,233.9,38606975.0,8796620685.75
2025-02-07,ZOMATO,EQUITY,EQ,INE758T01015,230.7,234.7,229.4,233.9,229.05,39271458.0,9117609782.42
2025-02-06,ZOMATO,EQUITY,EQ,INE758T01015,233.47,234.65,226.66,229.05,231.12,41606913.0,9638730890.67
2025-02-05,ZOMATO,EQUITY,EQ,INE758T01015,234.0,239.39,230.5,231.12,234.54,36437504.0,8539263124.37
2025-02-04,ZOMATO,EQUITY,EQ,INE758T01015,242.0,242.0,229.34,234.54,238.2,64341167.0,15075247431.2
