trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,ZYDUSWELL,EQUITY,EQ,INE768C01028,567.85,570.0,545.3,552.0,566.3,210690.0,117474265.95
2026-09-10,ZYDUSWELL,EQUITY,EQ,INE768C01028,554.95,571.65,554.95,566.3,554.2,368281.0,208464108.95
2026-09-09,ZYDUSWELL,EQUITY,EQ,INE768C01028,558.25,561.35,551.4,554.2,558.15,195180.0,108536778.25
2026-09-08,ZYDUSWELL,EQUITY,EQ,INE768C01028,555.35,562.95,554.7,558.15,555.35,321731.0,179702927.9
2026-09-07,ZYDUSWELL,EQUITY,EQ,INE768C01028,537.3,581.0,536.65,555.35,531.7,7627303.0,4312649063.75
2026-09-04,ZYDUSWELL,EQUITY,EQ,INE768C01028,536.95,546.6,527.15,531.7,538.2,209449.0,112801571.3
2026-09-03,ZYDUSWELL,EQUITY,EQ,INE768C01028,538.0,541.4,531.1,538.2,534.6,135712.0,72973365.15
2026-09-02,ZYDUSWELL,EQUITY,EQ,INE768C01028,525.0,539.1,523.8,534.6,528.8,179000.0,95059963.55
2026-09-01,ZYDUSWELL,EQUITY,EQ,INE768C01028,530.4,531.0,521.55,528.8,530.4,128038.0,67488360.95
2026-08-31,ZYDUSWELL,EQUITY,EQ,INE768C01028,530.0,535.0,518.15,530.4,526.55,402088.0,211142314.3
2026-08-28,ZYDUSWELL,EQUITY,EQ,INE768C01028,535.2,541.55,525.1,526.55,535.2,171032.0,91127088.3
2026-08-27,ZYDUSWELL,EQUITY,EQ,INE768C01028,529.2,537.7,528.95,535.2,529.2,208254.0,111219061.7
2026-08-26,ZYDUSWELL,EQUITY,EQ,INE768C01028,530.0,535.9,524.4,529.2,525.45,231187.0,122809866.4
2026-08-25,ZYDUSWELL,EQUITY,EQ,INE768C01028,515.05,529.75,514.0,525.45,511.1,662683.0,347084085.3
2026-08-24,ZYDUSWELL,EQUITY,EQ,INE768C01028,490.8,515.0,490.0,511.1,490.8,506126.0,257112697.15
