trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,NIFTY50 Equal Weight,INDEX,,,32358.95,32377.8,32268.8,32293.4,,230133309.0,
2026-09-07,NIFTY50 Equal Weight,INDEX,,,32550.1,32568.75,32339.35,32376.1,,205864370.0,
2026-09-04,NIFTY50 Equal Weight,INDEX,,,32614.35,32690.7,32571.25,32587.2,,231396362.0,
2026-09-03,NIFTY50 Equal Weight,INDEX,,,32764.1,32782.1,32534.6,32567.7,,239174046.0,
2026-09-02,NIFTY50 Equal Weight,INDEX,,,32594.15,32664.15,32440.85,32664.15,,318881826.0,
2026-09-01,NIFTY50 Equal Weight,INDEX,,,32981.4,32983.35,32722.55,32834.8,,334207690.0,
2026-08-31,NIFTY50 Equal Weight,INDEX,,,33025.6,33029.65,32771.85,32982.1,,710870778.0,
2026-08-28,NIFTY50 Equal Weight,INDEX,,,33068.85,33123.75,32971.1,33114.35,,296127942.0,
2026-08-27,NIFTY50 Equal Weight,INDEX,,,33126.85,33216.5,32984.4,32984.4,,323419647.0,
2026-08-26,NIFTY50 Equal Weight,INDEX,,,33307.2,33316.8,33071.1,33071.1,,244793446.0,
2026-08-25,NIFTY50 Equal Weight,INDEX,,,33074.5,33260.7,32929.7,33260.7,,239453630.0,
2026-08-24,NIFTY50 Equal Weight,INDEX,,,33151.75,33189.3,32998.8,33104.8,,236285363.0,
2026-08-21,NIFTY50 Equal Weight,INDEX,,,33165.8,33165.8,33046.8,33123.2,,259287088.0,
2026-08-20,NIFTY50 Equal Weight,INDEX,,,33141.45,33180.25,33055.95,33122.1,,253928495.0,
2026-08-19,NIFTY50 Equal Weight,INDEX,,,33014.1,33028.2,32872.7,32949.35,,238718813.0,
2026-08-18,NIFTY50 Equal Weight,INDEX,,,33159.5,33214.65,33012.25,33012.25,,227027460.0,
2026-08-17,NIFTY50 Equal Weight,INDEX,,,33326.25,33358.65,33183.9,33215.7,,225427674.0,
2026-08-14,NIFTY50 Equal Weight,INDEX,,,33418.15,33432.8,33298.9,33360.0,,267706410.0,
2026-08-13,NIFTY50 Equal Weight,INDEX,,,33471.9,33485.15,33337.8,33485.15,,295823169.0,
2026-08-12,NIFTY50 Equal Weight,INDEX,,,33584.1,33585.05,33264.75,33456.25,,317552958.0,
2026-08-11,NIFTY50 Equal Weight,INDEX,,,33734.5,33744.45,33514.0,33564.2,,271943567.0,
