trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22112.55,22216.95,22042.5,22132.9,,59040646.0,
2026-09-10,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22361.9,22370.7,22197.75,22272.65,,73962846.0,
2026-09-09,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22395.55,22437.4,22297.15,22335.4,,91959566.0,
2026-09-08,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22372.05,22483.8,22320.9,22451.2,,79746982.0,
2026-09-07,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22388.15,22418.4,22315.2,22359.8,,67596786.0,
2026-09-04,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22586.1,22588.1,22391.05,22391.05,,63420838.0,
2026-09-03,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22733.85,22747.9,22549.95,22582.35,,81502871.0,
2026-09-02,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22723.05,22737.85,22542.45,22698.2,,106598022.0,
2026-09-01,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23059.95,23064.5,22785.05,22877.05,,92492591.0,
2026-08-31,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22927.7,23114.45,22772.95,23114.45,,109468669.0,
2026-08-28,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22972.3,22988.65,22887.5,22971.25,,103425875.0,
2026-08-27,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22968.8,23038.6,22869.6,22919.3,,71170945.0,
2026-08-26,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23016.3,23051.0,22925.35,22925.35,,71667248.0,
2026-08-25,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22909.2,23030.95,22806.4,23030.95,,71080687.0,
2026-08-24,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22932.3,22933.8,22850.45,22919.75,,76866989.0,
2026-08-21,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23033.45,23043.45,22847.9,22928.35,,73777822.0,
2026-08-20,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23027.45,23038.35,22934.6,23032.05,,81166637.0,
2026-08-19,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,22984.55,23007.2,22855.0,22909.1,,81216850.0,
2026-08-18,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23116.9,23139.0,22998.7,23002.5,,75814615.0,
2026-08-17,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23197.3,23205.9,23121.6,23121.6,,90708611.0,
2026-08-14,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23324.85,23325.7,23196.35,23213.45,,63304405.0,
2026-08-13,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23348.8,23350.3,23264.65,23336.8,,69830539.0,
2026-08-12,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23371.6,23375.3,23252.2,23375.3,,87480661.0,
2026-08-11,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23364.1,23378.15,23268.4,23361.35,,85904644.0,
2026-08-10,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23348.45,23437.05,23281.55,23360.05,,79884899.0,
2026-08-07,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23274.25,23399.45,23259.25,23331.7,,69036700.0,
2026-08-06,NIFTY Alpha Quality Low-Volatility 30,INDEX,,,23338.25,23392.25,23263.35,23306.8,,99937393.0,
