trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,Nifty50 Value 20,INDEX,,,11448.6,11534.2,11424.1,11498.3,,198075580.0,
2026-09-10,Nifty50 Value 20,INDEX,,,11526.8,11570.95,11486.55,11538.4,,180621074.0,
2026-09-09,Nifty50 Value 20,INDEX,,,11584.1,11604.05,11519.3,11519.3,,248067411.0,
2026-09-08,Nifty50 Value 20,INDEX,,,11715.15,11726.05,11641.65,11649.5,,153782433.0,
2026-09-07,Nifty50 Value 20,INDEX,,,11807.0,11808.8,11706.25,11729.95,,143735293.0,
2026-09-04,Nifty50 Value 20,INDEX,,,11821.0,11873.6,11810.5,11817.4,,153203439.0,
2026-09-03,Nifty50 Value 20,INDEX,,,11866.05,11887.45,11798.8,11798.8,,167932461.0,
2026-09-02,Nifty50 Value 20,INDEX,,,11772.5,11834.6,11737.45,11811.2,,227954838.0,
2026-09-01,Nifty50 Value 20,INDEX,,,11815.9,11888.35,11798.15,11864.0,,240800686.0,
2026-08-31,Nifty50 Value 20,INDEX,,,11829.0,11844.75,11772.8,11838.1,,318472656.0,
2026-08-28,Nifty50 Value 20,INDEX,,,11804.7,11860.35,11796.5,11852.4,,212780958.0,
2026-08-27,Nifty50 Value 20,INDEX,,,11888.3,11899.7,11782.05,11782.05,,227669571.0,
2026-08-26,Nifty50 Value 20,INDEX,,,11895.6,11932.15,11860.4,11860.4,,155054762.0,
2026-08-25,Nifty50 Value 20,INDEX,,,11838.85,11888.5,11791.3,11888.5,,158090211.0,
2026-08-24,Nifty50 Value 20,INDEX,,,11904.2,11926.85,11815.35,11860.4,,161379940.0,
2026-08-21,Nifty50 Value 20,INDEX,,,11882.3,11905.45,11848.9,11873.85,,174791889.0,
2026-08-20,Nifty50 Value 20,INDEX,,,11873.25,11873.85,11834.85,11861.05,,162985887.0,
2026-08-19,Nifty50 Value 20,INDEX,,,11859.8,11873.9,11767.25,11800.2,,155087408.0,
2026-08-18,Nifty50 Value 20,INDEX,,,11881.55,11914.85,11849.5,11849.5,,154775281.0,
2026-08-17,Nifty50 Value 20,INDEX,,,11945.75,11952.25,11854.6,11912.95,,151994189.0,
2026-08-14,Nifty50 Value 20,INDEX,,,11975.3,11977.85,11907.45,11949.85,,166440398.0,
2026-08-13,Nifty50 Value 20,INDEX,,,12034.95,12034.95,11971.85,12013.75,,156815742.0,
2026-08-12,Nifty50 Value 20,INDEX,,,12071.5,12093.8,11970.8,12055.1,,218121229.0,
2026-08-11,Nifty50 Value 20,INDEX,,,12100.45,12102.15,12044.6,12070.5,,185298613.0,
2026-08-10,Nifty50 Value 20,INDEX,,,12148.0,12163.85,12083.2,12103.75,,187454554.0,
2026-08-07,Nifty50 Value 20,INDEX,,,12085.85,12157.1,12083.5,12130.6,,167174816.0,
2026-08-06,Nifty50 Value 20,INDEX,,,12104.5,12130.7,12065.75,12124.0,,222867212.0,
2026-08-05,Nifty50 Value 20,INDEX,,,12108.55,12117.2,12025.35,12090.3,,247244300.0,
2026-08-04,Nifty50 Value 20,INDEX,,,12170.5,12170.5,12018.25,12110.8,,186766901.0,
2026-08-03,Nifty50 Value 20,INDEX,,,12062.05,12202.0,12036.8,12202.0,,209988615.0,
2026-07-31,Nifty50 Value 20,INDEX,,,11960.5,11996.3,11922.5,11980.35,,210730317.0,
2026-07-30,Nifty50 Value 20,INDEX,,,11948.95,12012.0,11921.7,11992.2,,269308519.0,
2026-07-29,Nifty50 Value 20,INDEX,,,11914.15,11956.65,11872.7,11935.75,,230972964.0,
2026-07-28,Nifty50 Value 20,INDEX,,,11820.25,11864.65,11792.45,11807.6,,254691000.0,
2026-07-27,Nifty50 Value 20,INDEX,,,11868.95,11876.7,11825.55,11844.05,,201082030.0,
2026-07-24,Nifty50 Value 20,INDEX,,,11702.75,11808.75,11694.1,11785.5,,211241858.0,
2026-07-23,Nifty50 Value 20,INDEX,,,11813.2,11839.35,11762.0,11793.25,,199067898.0,
2026-07-22,Nifty50 Value 20,INDEX,,,11965.2,11968.15,11830.35,11854.3,,162288627.0,
2026-07-21,Nifty50 Value 20,INDEX,,,12028.35,12064.2,11963.3,11975.6,,221376101.0,
2026-07-20,Nifty50 Value 20,INDEX,,,12040.05,12098.45,12008.5,12053.9,,265614723.0,
2026-07-17,Nifty50 Value 20,INDEX,,,12006.15,12158.25,11993.35,12140.4,,208123096.0,
2026-07-16,Nifty50 Value 20,INDEX,,,11999.25,12035.65,11961.95,11976.35,,164697761.0,
2026-07-15,Nifty50 Value 20,INDEX,,,11980.9,12059.65,11936.25,11977.25,,190789060.0,
2026-07-14,Nifty50 Value 20,INDEX,,,12029.85,12066.1,11958.25,11977.65,,232358588.0,
2026-07-13,Nifty50 Value 20,INDEX,,,11955.55,12099.25,11940.1,12075.85,,241069252.0,
2026-07-10,Nifty50 Value 20,INDEX,,,11981.05,12032.9,11976.8,12021.0,,197305462.0,
2026-07-09,Nifty50 Value 20,INDEX,,,11891.5,11961.7,11859.65,11880.55,,233422381.0,
2026-07-08,Nifty50 Value 20,INDEX,,,12042.05,12067.5,11835.15,11867.0,,253113664.0,
