trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-11,Nifty 50 Futures TR Index,INDEX,,,,,,25166.23,,,
2026-09-09,Nifty 50 Futures TR Index,INDEX,,,,,,25229.97,,,
2026-09-08,Nifty 50 Futures TR Index,INDEX,,,,,,25437.34,,,
2026-09-07,Nifty 50 Futures TR Index,INDEX,,,,,,25559.7,,,
2026-09-04,Nifty 50 Futures TR Index,INDEX,,,,,,25740.27,,,
2026-09-03,Nifty 50 Futures TR Index,INDEX,,,,,,25684.69,,,
2026-09-02,Nifty 50 Futures TR Index,INDEX,,,,,,25680.67,,,
2026-09-01,Nifty 50 Futures TR Index,INDEX,,,,,,25772.69,,,
2026-08-31,Nifty 50 Futures TR Index,INDEX,,,,,,25940.71,,,
2026-08-28,Nifty 50 Futures TR Index,INDEX,,,,,,26024.5,,,
2026-08-27,Nifty 50 Futures TR Index,INDEX,,,,,,25956.06,,,
2026-08-26,Nifty 50 Futures TR Index,INDEX,,,,,,26109.04,,,
2026-08-25,Nifty 50 Futures TR Index,INDEX,,,,,,26150.21,,,
2026-08-24,Nifty 50 Futures TR Index,INDEX,,,,,,25995.2,,,
2026-08-21,Nifty 50 Futures TR Index,INDEX,,,,,,26058.44,,,
2026-08-20,Nifty 50 Futures TR Index,INDEX,,,,,,26059.26,,,
2026-08-19,Nifty 50 Futures TR Index,INDEX,,,,,,25872.82,,,
2026-08-18,Nifty 50 Futures TR Index,INDEX,,,,,,25989.18,,,
2026-08-17,Nifty 50 Futures TR Index,INDEX,,,,,,26159.21,,,
2026-08-14,Nifty 50 Futures TR Index,INDEX,,,,,,26207.13,,,
2026-08-13,Nifty 50 Futures TR Index,INDEX,,,,,,26222.49,,,
2026-08-12,Nifty 50 Futures TR Index,INDEX,,,,,,26220.81,,,
2026-08-11,Nifty 50 Futures TR Index,INDEX,,,,,,26291.44,,,
2026-08-10,Nifty 50 Futures TR Index,INDEX,,,,,,26414.74,,,
2026-08-07,Nifty 50 Futures TR Index,INDEX,,,,,,26396.58,,,
