trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2024-04-26,Nifty Aditya Birla Group,INDEX,,,,,,7575.82,,3910906042.0,
2024-04-25,Nifty Aditya Birla Group,INDEX,,,,,,7570.95,,8508003764.0,
2024-04-24,Nifty Aditya Birla Group,INDEX,,,,,,7437.78,,1687664635.0,
2024-04-23,Nifty Aditya Birla Group,INDEX,,,,,,7429.99,,2783095461.0,
2024-04-22,Nifty Aditya Birla Group,INDEX,,,,,,7256.56,,1702540905.0,
2024-04-19,Nifty Aditya Birla Group,INDEX,,,,,,7168.44,,736518889.0,
2024-04-18,Nifty Aditya Birla Group,INDEX,,,,,,7155.37,,813527932.0,
2024-04-16,Nifty Aditya Birla Group,INDEX,,,,,,7177.39,,1252176333.0,
2024-04-15,Nifty Aditya Birla Group,INDEX,,,,,,7202.37,,819675507.0,
2024-04-12,Nifty Aditya Birla Group,INDEX,,,,,,7209.64,,1162247990.0,
2024-04-10,Nifty Aditya Birla Group,INDEX,,,,,,7306.31,,531016549.0,
2024-04-09,Nifty Aditya Birla Group,INDEX,,,,,,7249.62,,379262613.0,
2024-04-08,Nifty Aditya Birla Group,INDEX,,,,,,7249.26,,784087075.0,
2024-04-05,Nifty Aditya Birla Group,INDEX,,,,,,7205.74,,706267453.0,
2024-04-04,Nifty Aditya Birla Group,INDEX,,,,,,7306.64,,945304531.0,
2024-04-03,Nifty Aditya Birla Group,INDEX,,,,,,7326.69,,532951335.0,
2024-04-02,Nifty Aditya Birla Group,INDEX,,,,,,7309.45,,525043339.0,
2024-04-01,Nifty Aditya Birla Group,INDEX,,,,,,7220.9,,483871153.0,
2024-03-28,Nifty Aditya Birla Group,INDEX,,,,,,7076.43,,278890446.0,
2024-03-27,Nifty Aditya Birla Group,INDEX,,,,,,6981.99,,255553391.0,
2024-03-26,Nifty Aditya Birla Group,INDEX,,,,,,7006.4,,294665761.0,
2024-03-22,Nifty Aditya Birla Group,INDEX,,,,,,6987.62,,479907033.0,
2024-03-21,Nifty Aditya Birla Group,INDEX,,,,,,6905.87,,170820820.0,
2024-03-20,Nifty Aditya Birla Group,INDEX,,,,,,6801.81,,287985653.0,
2024-03-19,Nifty Aditya Birla Group,INDEX,,,,,,6823.62,,255660777.0,
2024-03-18,Nifty Aditya Birla Group,INDEX,,,,,,6911.31,,198120472.0,
2024-03-15,Nifty Aditya Birla Group,INDEX,,,,,,6919.6,,342789354.0,
2024-03-14,Nifty Aditya Birla Group,INDEX,,,,,,6912.84,,446507112.0,
2024-03-13,Nifty Aditya Birla Group,INDEX,,,,,,6765.93,,666337073.0,
2024-03-12,Nifty Aditya Birla Group,INDEX,,,,,,6963.81,,345222667.0,
2024-03-11,Nifty Aditya Birla Group,INDEX,,,,,,7038.96,,212002759.0,
2024-03-07,Nifty Aditya Birla Group,INDEX,,,,,,7065.54,,197408155.0,
2024-03-06,Nifty Aditya Birla Group,INDEX,,,,,,7028.32,,416664928.0,
2024-03-05,Nifty Aditya Birla Group,INDEX,,,,,,7118.53,,356737082.0,
2024-03-04,Nifty Aditya Birla Group,INDEX,,,,,,7158.71,,297157719.0,
2024-03-01,Nifty Aditya Birla Group,INDEX,,,,,,7195.64,,716802830.0,
2024-02-29,Nifty Aditya Birla Group,INDEX,,,,,,7008.39,,825080514.0,
2024-02-28,Nifty Aditya Birla Group,INDEX,,,,,,6979.12,,1610310572.0,
2024-02-27,Nifty Aditya Birla Group,INDEX,,,,,,7170.05,,755901158.0,
2024-02-26,Nifty Aditya Birla Group,INDEX,,,,,,7185.18,,669030377.0,
2024-02-23,Nifty Aditya Birla Group,INDEX,,,,,,7268.11,,1807861547.0,
2024-02-22,Nifty Aditya Birla Group,INDEX,,,,,,7199.87,,459525932.0,
2024-02-21,Nifty Aditya Birla Group,INDEX,,,,,,7123.47,,374615158.0,
2024-02-20,Nifty Aditya Birla Group,INDEX,,,,,,7162.47,,289432750.0,
2024-02-19,Nifty Aditya Birla Group,INDEX,,,,,,7130.7,,241233082.0,
2024-02-16,Nifty Aditya Birla Group,INDEX,,,,,,7093.86,,383673936.0,
2024-02-15,Nifty Aditya Birla Group,INDEX,,,,,,7040.9,,419245735.0,
2024-02-14,Nifty Aditya Birla Group,INDEX,,,,,,7003.26,,535716613.0,
2024-02-13,Nifty Aditya Birla Group,INDEX,,,,,,6965.06,,393402404.0,
2024-02-12,Nifty Aditya Birla Group,INDEX,,,,,,7207.21,,425062712.0,
2024-02-09,Nifty Aditya Birla Group,INDEX,,,,,,7322.05,,567500051.0,
2024-02-08,Nifty Aditya Birla Group,INDEX,,,,,,7256.56,,334892708.0,
2024-02-07,Nifty Aditya Birla Group,INDEX,,,,,,7354.9,,575735631.0,
2024-02-06,Nifty Aditya Birla Group,INDEX,,,,,,7192.37,,332712192.0,
2024-02-05,Nifty Aditya Birla Group,INDEX,,,,,,7119.5,,206322601.0,
2024-02-02,Nifty Aditya Birla Group,INDEX,,,,,,7234.68,,298956790.0,
2024-02-01,Nifty Aditya Birla Group,INDEX,,,,,,7108.86,,228324506.0,
2024-01-31,Nifty Aditya Birla Group,INDEX,,,,,,7254.67,,190286907.0,
2024-01-30,Nifty Aditya Birla Group,INDEX,,,,,,7138.05,,251936612.0,
2024-01-29,Nifty Aditya Birla Group,INDEX,,,,,,7221.91,,261731884.0,
2024-01-25,Nifty Aditya Birla Group,INDEX,,,,,,7097.45,,398204872.0,
2024-01-24,Nifty Aditya Birla Group,INDEX,,,,,,7104.44,,461565667.0,
2024-01-23,Nifty Aditya Birla Group,INDEX,,,,,,6947.94,,315465374.0,
2024-01-19,Nifty Aditya Birla Group,INDEX,,,,,,7148.31,,240571681.0,
2024-01-18,Nifty Aditya Birla Group,INDEX,,,,,,7066.74,,297120626.0,
2024-01-17,Nifty Aditya Birla Group,INDEX,,,,,,7079.26,,402832612.0,
2024-01-16,Nifty Aditya Birla Group,INDEX,,,,,,7241.04,,413089534.0,
2024-01-15,Nifty Aditya Birla Group,INDEX,,,,,,7254.45,,229475121.0,
2024-01-12,Nifty Aditya Birla Group,INDEX,,,,,,7205.95,,146551769.0,
2024-01-11,Nifty Aditya Birla Group,INDEX,,,,,,7215.51,,146212677.0,
2024-01-10,Nifty Aditya Birla Group,INDEX,,,,,,7147.58,,214034661.0,
2024-01-09,Nifty Aditya Birla Group,INDEX,,,,,,7176.67,,402111775.0,
2024-01-08,Nifty Aditya Birla Group,INDEX,,,,,,7240.68,,308992020.0,
2024-01-05,Nifty Aditya Birla Group,INDEX,,,,,,7298.04,,714347110.0,
2024-01-04,Nifty Aditya Birla Group,INDEX,,,,,,7289.36,,559550300.0,
2024-01-03,Nifty Aditya Birla Group,INDEX,,,,,,7261.52,,620958719.0,
2024-01-02,Nifty Aditya Birla Group,INDEX,,,,,,7374.25,,1143588203.0,
2024-01-01,Nifty Aditya Birla Group,INDEX,,,,,,7472.25,,1800112623.0,
2023-12-29,Nifty Aditya Birla Group,INDEX,,,,,,7446.39,,1706456638.0,
2023-12-28,Nifty Aditya Birla Group,INDEX,,,,,,7275.9,,186002568.0,
2023-12-27,Nifty Aditya Birla Group,INDEX,,,,,,7257.31,,160751866.0,
2023-12-26,Nifty Aditya Birla Group,INDEX,,,,,,7033.76,,339843056.0,
2023-12-22,Nifty Aditya Birla Group,INDEX,,,,,,6994.08,,237971902.0,
2023-12-21,Nifty Aditya Birla Group,INDEX,,,,,,6982.33,,304646924.0,
2023-12-20,Nifty Aditya Birla Group,INDEX,,,,,,6896.4,,513108792.0,
2023-12-19,Nifty Aditya Birla Group,INDEX,,,,,,7085.34,,290033370.0,
2023-12-18,Nifty Aditya Birla Group,INDEX,,,,,,7081.91,,383685184.0,
2023-12-15,Nifty Aditya Birla Group,INDEX,,,,,,7081.7,,371668562.0,
2023-12-14,Nifty Aditya Birla Group,INDEX,,,,,,7008.38,,431471637.0,
2023-12-13,Nifty Aditya Birla Group,INDEX,,,,,,6862.56,,380483167.0,
2023-12-12,Nifty Aditya Birla Group,INDEX,,,,,,6884.38,,225571281.0,
2023-12-11,Nifty Aditya Birla Group,INDEX,,,,,,6828.08,,306944506.0,
2023-12-08,Nifty Aditya Birla Group,INDEX,,,,,,6718.87,,254774316.0,
2023-12-07,Nifty Aditya Birla Group,INDEX,,,,,,6730.34,,265511698.0,
2023-12-06,Nifty Aditya Birla Group,INDEX,,,,,,6686.45,,157218507.0,
2023-12-05,Nifty Aditya Birla Group,INDEX,,,,,,6735.16,,276284709.0,
2023-12-04,Nifty Aditya Birla Group,INDEX,,,,,,6710.05,,234019405.0,
2023-12-01,Nifty Aditya Birla Group,INDEX,,,,,,6594.04,,199246257.0,
2023-11-30,Nifty Aditya Birla Group,INDEX,,,,,,6560.45,,642213465.0,
2023-11-29,Nifty Aditya Birla Group,INDEX,,,,,,6490.04,,150693883.0,
2023-11-28,Nifty Aditya Birla Group,INDEX,,,,,,6474.71,,152308066.0,
2023-11-24,Nifty Aditya Birla Group,INDEX,,,,,,6391.13,,143636827.0,
