trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,Nifty Alpha 50,INDEX,,,56495.15,56653.95,56315.7,56647.15,,529536195.0,
2026-09-07,Nifty Alpha 50,INDEX,,,56402.35,56500.25,56249.15,56302.45,,861784844.0,
2026-09-04,Nifty Alpha 50,INDEX,,,56702.1,56723.7,56382.4,56408.3,,687412154.0,
2026-09-03,Nifty Alpha 50,INDEX,,,56695.75,56844.35,56475.4,56618.75,,453791611.0,
2026-09-02,Nifty Alpha 50,INDEX,,,56373.65,56489.75,55945.0,56455.85,,729868942.0,
2026-09-01,Nifty Alpha 50,INDEX,,,57394.65,57398.65,56392.25,56678.4,,545596186.0,
2026-08-31,Nifty Alpha 50,INDEX,,,57609.7,57639.85,56979.15,57539.1,,757513493.0,
2026-08-28,Nifty Alpha 50,INDEX,,,57650.55,57726.95,57380.75,57712.2,,572205792.0,
2026-08-27,Nifty Alpha 50,INDEX,,,57659.45,57921.4,57345.25,57483.65,,715945311.0,
2026-08-26,Nifty Alpha 50,INDEX,,,57141.4,57648.2,57109.95,57536.75,,767172163.0,
2026-08-25,Nifty Alpha 50,INDEX,,,56535.65,57052.1,56382.5,57036.5,,1819475995.0,
2026-08-24,Nifty Alpha 50,INDEX,,,56594.5,56839.5,56541.65,56679.25,,441793786.0,
2026-08-21,Nifty Alpha 50,INDEX,,,56277.1,56493.05,56251.55,56454.75,,376119615.0,
2026-08-20,Nifty Alpha 50,INDEX,,,56195.35,56390.15,56057.45,56149.4,,398586585.0,
2026-08-19,Nifty Alpha 50,INDEX,,,56369.45,56373.65,55685.3,55776.95,,475392428.0,
2026-08-18,Nifty Alpha 50,INDEX,,,56311.0,56565.2,56148.95,56454.35,,983420224.0,
2026-08-17,Nifty Alpha 50,INDEX,,,56207.35,56473.7,56142.6,56381.35,,527758427.0,
2026-08-14,Nifty Alpha 50,INDEX,,,56487.25,56573.1,56170.6,56178.55,,1000699694.0,
2026-08-13,Nifty Alpha 50,INDEX,,,57064.15,57072.8,56460.75,56612.75,,746604317.0,
2026-08-12,Nifty Alpha 50,INDEX,,,56543.85,57072.3,56448.2,57025.3,,1094791847.0,
2026-08-11,Nifty Alpha 50,INDEX,,,56434.1,56497.75,56179.6,56346.2,,868944105.0,
2026-08-10,Nifty Alpha 50,INDEX,,,56213.35,56503.45,56034.8,56242.35,,675902155.0,
2026-08-07,Nifty Alpha 50,INDEX,,,55769.3,56147.3,55654.9,56016.95,,433396010.0,
2026-08-06,Nifty Alpha 50,INDEX,,,55781.1,55913.25,55529.4,55859.05,,451725089.0,
2026-08-05,Nifty Alpha 50,INDEX,,,55651.7,55735.9,55339.0,55719.8,,493077072.0,
2026-08-04,Nifty Alpha 50,INDEX,,,54891.0,55441.6,54718.25,55288.95,,538738857.0,
2026-08-03,Nifty Alpha 50,INDEX,,,54493.5,54745.95,54323.4,54710.15,,502095302.0,
2026-07-31,Nifty Alpha 50,INDEX,,,53931.15,54395.95,53927.05,54236.25,,629183308.0,
2026-07-30,Nifty Alpha 50,INDEX,,,53811.15,53811.15,53343.6,53607.3,,420047576.0,
2026-07-29,Nifty Alpha 50,INDEX,,,53434.45,53860.2,53313.65,53779.65,,493935622.0,
2026-07-28,Nifty Alpha 50,INDEX,,,53600.0,53600.0,52985.1,53198.2,,497204918.0,
2026-07-27,Nifty Alpha 50,INDEX,,,53435.85,53689.65,53350.0,53630.7,,481879209.0,
2026-07-24,Nifty Alpha 50,INDEX,,,52936.75,53081.4,52538.85,53021.4,,596482503.0,
2026-07-23,Nifty Alpha 50,INDEX,,,53943.5,54047.1,53278.2,53347.25,,541024328.0,
2026-07-22,Nifty Alpha 50,INDEX,,,54541.55,54655.05,53905.3,53981.8,,581305833.0,
2026-07-21,Nifty Alpha 50,INDEX,,,54143.75,54511.3,54046.05,54429.2,,574787281.0,
2026-07-20,Nifty Alpha 50,INDEX,,,53598.85,54156.35,53549.05,54029.65,,607215010.0,
2026-07-17,Nifty Alpha 50,INDEX,,,54045.4,54045.4,53333.3,53651.3,,562814228.0,
2026-07-16,Nifty Alpha 50,INDEX,,,54602.85,54645.3,53785.4,53990.1,,586556902.0,
2026-07-15,Nifty Alpha 50,INDEX,,,54279.6,54650.35,54186.85,54324.0,,625239903.0,
2026-07-14,Nifty Alpha 50,INDEX,,,53910.15,54057.25,53653.65,53960.35,,558674913.0,
2026-07-13,Nifty Alpha 50,INDEX,,,53947.05,54211.8,53733.75,54090.85,,472563313.0,
