trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,Nifty BHARAT Bond Index - April 2033,INDEX,,,1284.84,1284.92,1284.84,1284.92,,,
2026-09-07,Nifty BHARAT Bond Index - April 2033,INDEX,,,1285.65,1285.65,1284.59,1284.59,,,
2026-09-04,Nifty BHARAT Bond Index - April 2033,INDEX,,,1283.8,1284.88,1283.15,1284.88,,,
2026-09-03,Nifty BHARAT Bond Index - April 2033,INDEX,,,1279.75,1283.55,1279.75,1283.55,,,
2026-09-02,Nifty BHARAT Bond Index - April 2033,INDEX,,,1281.0,1281.01,1279.5,1279.5,,,
2026-09-01,Nifty BHARAT Bond Index - April 2033,INDEX,,,1280.26,1280.75,1280.26,1280.75,,,
2026-08-31,Nifty BHARAT Bond Index - April 2033,INDEX,,,1282.85,1282.85,1280.01,1280.01,,,
2026-08-28,Nifty BHARAT Bond Index - April 2033,INDEX,,,1284.36,1284.37,1282.09,1282.09,,,
2026-08-27,Nifty BHARAT Bond Index - April 2033,INDEX,,,1284.45,1284.45,1284.11,1284.11,,,
2026-08-26,Nifty BHARAT Bond Index - April 2033,INDEX,,,1284.45,1284.45,1284.2,1284.2,,,
2026-08-25,Nifty BHARAT Bond Index - April 2033,INDEX,,,1284.26,1284.26,1283.94,1283.94,,,
2026-08-24,Nifty BHARAT Bond Index - April 2033,INDEX,,,1288.59,1288.59,1284.01,1284.01,,,
2026-08-21,Nifty BHARAT Bond Index - April 2033,INDEX,,,1291.24,1291.25,1287.83,1287.83,,,
2026-08-20,Nifty BHARAT Bond Index - April 2033,INDEX,,,1292.0,1292.0,1291.0,1291.0,,,
2026-08-19,Nifty BHARAT Bond Index - April 2033,INDEX,,,1293.08,1293.08,1291.75,1291.75,,,
2026-08-18,Nifty BHARAT Bond Index - April 2033,INDEX,,,1295.24,1295.24,1292.84,1292.84,,,
2026-08-17,Nifty BHARAT Bond Index - April 2033,INDEX,,,1296.16,1296.16,1294.99,1294.99,,,
2026-08-14,Nifty BHARAT Bond Index - April 2033,INDEX,,,1295.23,1295.41,1295.23,1295.41,,,
2026-08-13,Nifty BHARAT Bond Index - April 2033,INDEX,,,1293.77,1294.99,1293.77,1294.99,,,
