trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-09,Nifty Chemicals,INDEX,,,30125.6,30179.4,30014.05,30097.25,,14232006.0,
2026-09-08,Nifty Chemicals,INDEX,,,30025.25,30190.2,29959.6,30167.1,,14507070.0,
2026-09-07,Nifty Chemicals,INDEX,,,30058.3,30207.65,29952.95,29961.9,,10244289.0,
2026-09-04,Nifty Chemicals,INDEX,,,30364.65,30377.65,30096.3,30101.8,,10703451.0,
2026-09-03,Nifty Chemicals,INDEX,,,30075.6,30434.55,30074.0,30322.45,,10808482.0,
2026-09-02,Nifty Chemicals,INDEX,,,29940.35,30067.65,29656.95,30052.4,,20758065.0,
2026-09-01,Nifty Chemicals,INDEX,,,30084.5,30164.55,29845.9,30069.2,,24584618.0,
2026-08-31,Nifty Chemicals,INDEX,,,30145.3,30162.55,29870.2,30028.8,,15900470.0,
2026-08-28,Nifty Chemicals,INDEX,,,30462.65,30472.85,30152.7,30190.75,,14809323.0,
2026-08-27,Nifty Chemicals,INDEX,,,30426.0,30483.55,30362.3,30402.7,,14669220.0,
2026-08-26,Nifty Chemicals,INDEX,,,30115.6,30455.65,30042.2,30397.6,,14773670.0,
2026-08-25,Nifty Chemicals,INDEX,,,30095.85,30115.15,29853.0,30041.55,,16322293.0,
2026-08-24,Nifty Chemicals,INDEX,,,30122.95,30195.6,29933.85,30038.65,,20608612.0,
2026-08-21,Nifty Chemicals,INDEX,,,30282.2,30339.15,30026.65,30067.65,,23480353.0,
2026-08-20,Nifty Chemicals,INDEX,,,30428.4,30605.2,30206.1,30249.5,,19766268.0,
2026-08-19,Nifty Chemicals,INDEX,,,30690.0,30730.75,30294.75,30400.0,,43683515.0,
2026-08-18,Nifty Chemicals,INDEX,,,30726.95,30807.85,30621.7,30716.7,,14840430.0,
2026-08-17,Nifty Chemicals,INDEX,,,30757.15,30885.25,30646.05,30692.3,,10242972.0,
2026-08-14,Nifty Chemicals,INDEX,,,30831.75,30831.75,30622.3,30725.65,,14565734.0,
2026-08-13,Nifty Chemicals,INDEX,,,30483.75,30830.35,30460.45,30820.75,,13425601.0,
2026-08-12,Nifty Chemicals,INDEX,,,30514.9,30514.95,30313.05,30439.75,,20733685.0,
2026-08-11,Nifty Chemicals,INDEX,,,30691.35,30725.45,30431.4,30492.85,,15107331.0,
2026-08-10,Nifty Chemicals,INDEX,,,30621.4,30708.25,30488.3,30669.9,,12975497.0,
2026-08-07,Nifty Chemicals,INDEX,,,30744.4,30907.75,30503.1,30585.2,,16308402.0,
2026-08-06,Nifty Chemicals,INDEX,,,30527.65,30830.3,30445.15,30791.8,,18590395.0,
2026-08-05,Nifty Chemicals,INDEX,,,30638.8,30661.1,30244.5,30396.8,,16584120.0,
2026-08-04,Nifty Chemicals,INDEX,,,30609.0,30698.7,30373.35,30424.55,,19781095.0,
2026-08-03,Nifty Chemicals,INDEX,,,30211.3,30564.8,30168.95,30558.6,,13855462.0,
2026-07-31,Nifty Chemicals,INDEX,,,30127.65,30262.6,30026.3,30096.25,,32510030.0,
2026-07-30,Nifty Chemicals,INDEX,,,30356.0,30365.35,29930.3,29989.1,,25229903.0,
2026-07-29,Nifty Chemicals,INDEX,,,30187.45,30382.3,30173.35,30343.15,,39510134.0,
2026-07-28,Nifty Chemicals,INDEX,,,30473.5,30488.35,30004.7,30047.25,,20027846.0,
2026-07-27,Nifty Chemicals,INDEX,,,30305.35,30453.8,30244.8,30427.15,,16244760.0,
2026-07-24,Nifty Chemicals,INDEX,,,29977.4,30101.9,29788.95,30040.95,,12881613.0,
2026-07-23,Nifty Chemicals,INDEX,,,30527.8,30613.45,30042.4,30070.35,,17992457.0,
2026-07-22,Nifty Chemicals,INDEX,,,31015.25,31026.95,30521.9,30641.85,,29890858.0,
2026-07-21,Nifty Chemicals,INDEX,,,30600.4,30982.6,30525.2,30947.1,,32634464.0,
2026-07-20,Nifty Chemicals,INDEX,,,30202.75,30568.3,30179.7,30493.25,,27961408.0,
2026-07-17,Nifty Chemicals,INDEX,,,30358.9,30385.05,30083.0,30266.7,,26613401.0,
2026-07-16,Nifty Chemicals,INDEX,,,29964.5,30368.25,29957.4,30314.25,,42316774.0,
2026-07-15,Nifty Chemicals,INDEX,,,29721.9,30132.05,29718.7,29894.05,,18947266.0,
2026-07-14,Nifty Chemicals,INDEX,,,29616.45,29661.7,29438.65,29624.75,,12723365.0,
2026-07-13,Nifty Chemicals,INDEX,,,29673.25,29747.9,29476.15,29700.75,,13240444.0,
2026-07-10,Nifty Chemicals,INDEX,,,29494.1,29858.85,29466.7,29819.6,,10853274.0,
2026-07-09,Nifty Chemicals,INDEX,,,29201.4,29453.7,29160.9,29345.75,,13887077.0,
2026-07-08,Nifty Chemicals,INDEX,,,29850.8,29862.85,28999.4,29147.4,,15494858.0,
2026-07-07,Nifty Chemicals,INDEX,,,30224.15,30279.8,29796.25,29948.4,,31857176.0,
2026-07-06,Nifty Chemicals,INDEX,,,30075.75,30304.0,30049.95,30222.7,,31260307.0,
2026-07-03,Nifty Chemicals,INDEX,,,30062.35,30162.1,29890.55,30030.85,,45905904.0,
2026-07-02,Nifty Chemicals,INDEX,,,29555.15,29907.6,29542.7,29869.85,,15920112.0,
2026-07-01,Nifty Chemicals,INDEX,,,29707.45,29815.35,29416.75,29454.5,,26885238.0,
2026-06-30,Nifty Chemicals,INDEX,,,29308.5,29760.4,29250.55,29615.5,,24789615.0,
2026-06-29,Nifty Chemicals,INDEX,,,29594.6,29661.65,29157.3,29201.85,,38680379.0,
2026-06-25,Nifty Chemicals,INDEX,,,29960.1,29990.35,29518.65,29587.6,,32019037.0,
2026-06-24,Nifty Chemicals,INDEX,,,29682.35,29816.3,29477.7,29779.0,,21661033.0,
2026-06-23,Nifty Chemicals,INDEX,,,29948.2,30115.3,29606.35,29670.2,,29751937.0,
2026-06-22,Nifty Chemicals,INDEX,,,29941.1,29976.8,29762.1,29912.15,,39384665.0,
2026-06-19,Nifty Chemicals,INDEX,,,29803.15,29955.05,29657.2,29846.0,,26479672.0,
2026-06-18,Nifty Chemicals,INDEX,,,29714.4,29851.1,29573.2,29810.75,,23376519.0,
2026-06-17,Nifty Chemicals,INDEX,,,29714.5,29781.35,29525.1,29638.35,,22195514.0,
2026-06-16,Nifty Chemicals,INDEX,,,29637.6,29753.05,29522.65,29636.5,,27693987.0,
2026-06-15,Nifty Chemicals,INDEX,,,29689.45,29707.8,29480.75,29530.05,,42147718.0,
2026-06-12,Nifty Chemicals,INDEX,,,29018.75,29309.25,28963.45,29261.6,,25319587.0,
2026-06-11,Nifty Chemicals,INDEX,,,28989.25,29058.05,28666.9,28716.6,,22214556.0,
2026-06-10,Nifty Chemicals,INDEX,,,29128.4,29400.45,29032.25,29085.6,,36736288.0,
2026-06-09,Nifty Chemicals,INDEX,,,28734.3,29117.85,28704.85,29046.65,,22341410.0,
2026-06-08,Nifty Chemicals,INDEX,,,28832.15,28908.4,28491.35,28619.8,,35119547.0,
2026-06-05,Nifty Chemicals,INDEX,,,29208.3,29280.2,29008.9,29126.95,,31687299.0,
2026-06-04,Nifty Chemicals,INDEX,,,28988.6,29217.95,28904.6,29055.5,,25933116.0,
2026-06-03,Nifty Chemicals,INDEX,,,29036.3,29120.9,28875.0,29076.6,,19479532.0,
2026-06-02,Nifty Chemicals,INDEX,,,28743.6,29091.4,28568.55,29051.7,,16295839.0,
2026-06-01,Nifty Chemicals,INDEX,,,29321.65,29428.25,28887.95,28933.35,,16123439.0,
2026-05-29,Nifty Chemicals,INDEX,,,29705.7,29839.95,29086.4,29240.55,,29119451.0,
2026-05-27,Nifty Chemicals,INDEX,,,29744.65,29877.15,29679.75,29704.3,,15352588.0,
2026-05-26,Nifty Chemicals,INDEX,,,29677.9,29877.85,29644.85,29745.2,,19040521.0,
2026-05-25,Nifty Chemicals,INDEX,,,29445.0,29692.2,29304.2,29624.5,,15751387.0,
2026-05-22,Nifty Chemicals,INDEX,,,29323.2,29355.25,29106.15,29175.35,,15931117.0,
2026-05-21,Nifty Chemicals,INDEX,,,29240.0,29405.35,29117.5,29202.5,,23375375.0,
2026-05-20,Nifty Chemicals,INDEX,,,28950.25,29120.1,28744.05,29069.85,,34616947.0,
2026-05-19,Nifty Chemicals,INDEX,,,28989.05,29512.0,28989.05,29227.95,,29890933.0,
2026-05-18,Nifty Chemicals,INDEX,,,29082.65,29130.05,28504.65,28911.5,,19326544.0,
2026-05-15,Nifty Chemicals,INDEX,,,29225.5,29271.2,28928.15,29179.85,,24922258.0,
2026-05-14,Nifty Chemicals,INDEX,,,28980.95,29219.85,28898.7,29143.7,,12709638.0,
2026-05-13,Nifty Chemicals,INDEX,,,28709.4,29048.0,28695.5,28784.05,,22570458.0,
2026-05-12,Nifty Chemicals,INDEX,,,29379.45,29379.45,28631.5,28694.8,,34636906.0,
2026-05-11,Nifty Chemicals,INDEX,,,29513.35,29593.85,29176.9,29408.75,,31071128.0,
2026-05-08,Nifty Chemicals,INDEX,,,29728.4,29873.95,29557.4,29632.0,,27973200.0,
2026-05-07,Nifty Chemicals,INDEX,,,29655.05,29683.0,29380.0,29577.65,,24864803.0,
2026-05-06,Nifty Chemicals,INDEX,,,28990.85,29527.55,28883.95,29462.35,,34270409.0,
2026-05-05,Nifty Chemicals,INDEX,,,28698.2,28797.65,28470.55,28756.2,,35982159.0,
2026-05-04,Nifty Chemicals,INDEX,,,28641.4,28987.7,28551.9,28692.15,,32026209.0,
2026-04-30,Nifty Chemicals,INDEX,,,28564.65,28597.65,28131.75,28480.5,,33525800.0,
2026-04-29,Nifty Chemicals,INDEX,,,28483.95,28623.35,28400.8,28480.05,,28049820.0,
2026-04-28,Nifty Chemicals,INDEX,,,28170.95,28435.2,28129.8,28322.15,,44341894.0,
2026-04-27,Nifty Chemicals,INDEX,,,28015.1,28249.6,27873.0,28158.05,,29963194.0,
2026-04-24,Nifty Chemicals,INDEX,,,28247.45,28344.4,27764.25,27844.95,,86752984.0,
