trade_date,symbol,asset_type,series,isin,open,high,low,close,prev_close,volume,traded_value
2026-09-08,Nifty Dividend Opportunities 50,INDEX,,,5737.55,5744.55,5719.65,5732.2,,260752877.0,
2026-09-07,Nifty Dividend Opportunities 50,INDEX,,,5788.75,5790.9,5730.05,5738.8,,296440358.0,
2026-09-04,Nifty Dividend Opportunities 50,INDEX,,,5824.45,5828.85,5803.05,5803.05,,315238587.0,
2026-09-03,Nifty Dividend Opportunities 50,INDEX,,,5851.8,5854.3,5803.65,5809.45,,350429578.0,
2026-09-02,Nifty Dividend Opportunities 50,INDEX,,,5816.55,5830.65,5768.6,5830.5,,393677664.0,
2026-09-01,Nifty Dividend Opportunities 50,INDEX,,,5851.25,5875.2,5831.65,5859.25,,368323714.0,
2026-08-31,Nifty Dividend Opportunities 50,INDEX,,,5861.3,5864.05,5799.85,5862.35,,451860393.0,
2026-08-28,Nifty Dividend Opportunities 50,INDEX,,,5856.25,5890.5,5851.7,5879.7,,378365634.0,
2026-08-27,Nifty Dividend Opportunities 50,INDEX,,,5880.3,5900.65,5827.55,5832.65,,330221143.0,
2026-08-26,Nifty Dividend Opportunities 50,INDEX,,,5916.0,5929.0,5877.85,5878.05,,397679444.0,
2026-08-25,Nifty Dividend Opportunities 50,INDEX,,,5877.95,5908.1,5846.4,5907.75,,376805351.0,
2026-08-24,Nifty Dividend Opportunities 50,INDEX,,,5877.05,5898.6,5856.2,5878.25,,368738296.0,
2026-08-21,Nifty Dividend Opportunities 50,INDEX,,,5883.3,5884.35,5857.05,5868.55,,307509496.0,
2026-08-20,Nifty Dividend Opportunities 50,INDEX,,,5890.35,5891.5,5868.65,5878.35,,297742634.0,
2026-08-19,Nifty Dividend Opportunities 50,INDEX,,,5871.4,5877.15,5832.65,5848.55,,268702198.0,
2026-08-18,Nifty Dividend Opportunities 50,INDEX,,,5909.2,5922.6,5865.2,5865.3,,264474218.0,
2026-08-17,Nifty Dividend Opportunities 50,INDEX,,,5949.5,5954.8,5906.05,5923.15,,329989746.0,
2026-08-14,Nifty Dividend Opportunities 50,INDEX,,,5997.3,5997.45,5947.4,5962.7,,332441725.0,
2026-08-13,Nifty Dividend Opportunities 50,INDEX,,,5996.75,6005.6,5976.55,6004.8,,293684293.0,
2026-08-12,Nifty Dividend Opportunities 50,INDEX,,,6014.15,6032.8,5962.8,5998.15,,493732353.0,
2026-08-11,Nifty Dividend Opportunities 50,INDEX,,,6038.2,6039.1,6006.75,6017.45,,363516878.0,
2026-08-10,Nifty Dividend Opportunities 50,INDEX,,,6073.15,6076.85,6018.95,6032.5,,387676484.0,
2026-08-07,Nifty Dividend Opportunities 50,INDEX,,,6018.8,6072.65,6015.95,6062.75,,311728957.0,
2026-08-06,Nifty Dividend Opportunities 50,INDEX,,,6042.75,6047.7,6018.0,6030.3,,380478359.0,
2026-08-05,Nifty Dividend Opportunities 50,INDEX,,,6048.2,6050.25,6014.95,6050.25,,410585041.0,
2026-08-04,Nifty Dividend Opportunities 50,INDEX,,,6044.05,6044.05,5990.7,6025.15,,360799883.0,
2026-08-03,Nifty Dividend Opportunities 50,INDEX,,,5982.55,6055.55,5979.95,6055.55,,519408301.0,
2026-07-31,Nifty Dividend Opportunities 50,INDEX,,,5921.9,5951.45,5898.6,5939.1,,435008210.0,
2026-07-30,Nifty Dividend Opportunities 50,INDEX,,,5946.85,5980.0,5935.75,5948.85,,448039013.0,
