symbol,asset_type,file,start_date,end_date,rows
20MICRONS,EQUITY,equity/20MICRONS.csv,2023-11-28,2026-09-08,621
21STCENMGM,EQUITY,equity/21STCENMGM.csv,2023-09-11,2026-09-08,427
360ONE,EQUITY,equity/360ONE.csv,2023-09-11,2026-09-08,737
3BBLACKBIO,EQUITY,equity/3BBLACKBIO.csv,2026-04-20,2026-09-08,99
3IINFOLTD,EQUITY,equity/3IINFOLTD.csv,2023-09-11,2026-08-13,719
3MINDIA,EQUITY,equity/3MINDIA.csv,2023-09-11,2026-09-08,737
3PLAND,EQUITY,equity/3PLAND.csv,2023-09-11,2026-09-08,552
5PAISA,EQUITY,equity/5PAISA.csv,2023-09-11,2026-09-08,737
63MOONS,EQUITY,equity/63MOONS.csv,2023-09-11,2026-09-08,673
A2ZINFRA,EQUITY,equity/A2ZINFRA.csv,2024-10-14,2026-09-08,263
AAATECH,EQUITY,equity/AAATECH.csv,2023-09-11,2026-09-08,540
AADHARHFC,EQUITY,equity/AADHARHFC.csv,2024-05-15,2026-09-08,574
AAKASH,EQUITY,equity/AAKASH.csv,2023-10-23,2026-09-08,446
AAREYDRUGS,EQUITY,equity/AAREYDRUGS.csv,2024-01-01,2026-09-08,231
AARNAV,EQUITY,equity/AARNAV.csv,2026-02-25,2026-08-20,119
AARON,EQUITY,equity/AARON.csv,2023-10-16,2026-09-08,714
AARTECH,EQUITY,equity/AARTECH.csv,2023-12-18,2026-07-09,493
AARTIDRUGS,EQUITY,equity/AARTIDRUGS.csv,2023-09-11,2026-09-08,737
AARTIIND,EQUITY,equity/AARTIIND.csv,2023-09-11,2026-09-08,737
AARTIPHARM,EQUITY,equity/AARTIPHARM.csv,2023-09-11,2026-09-08,737
AARTISURF,EQUITY,equity/AARTISURF.csv,2023-09-11,2026-08-14,592
AARVEEDEN,EQUITY,equity/AARVEEDEN.csv,2023-09-11,2024-08-02,218
AARVI,EQUITY,equity/AARVI.csv,2023-09-11,2026-09-08,737
AASTHA,EQUITY,equity/AASTHA.csv,2026-07-20,2026-09-08,37
AAVAS,EQUITY,equity/AAVAS.csv,2023-09-11,2026-09-08,737
ABAN,EQUITY,equity/ABAN.csv,2023-09-11,2025-09-04,245
ABANSENT,EQUITY,equity/ABANSENT.csv,2026-04-20,2026-09-08,31
ABB,EQUITY,equity/ABB.csv,2023-09-11,2026-09-08,737
ABBOTINDIA,EQUITY,equity/ABBOTINDIA.csv,2023-09-11,2026-09-08,737
ABCAPITAL,EQUITY,equity/ABCAPITAL.csv,2023-09-11,2026-09-08,737
ABCOTS,EQUITY,equity/ABCOTS.csv,2025-09-24,2026-09-08,236
ABDL,EQUITY,equity/ABDL.csv,2024-07-02,2026-09-08,542
ABFRL,EQUITY,equity/ABFRL.csv,2023-09-11,2026-09-08,737
ABGSEC,EQUITY,equity/ABGSEC.csv,2024-07-10,2026-09-08,506
ABINFRA,EQUITY,equity/ABINFRA.csv,2025-01-13,2026-08-21,321
ABLBL,EQUITY,equity/ABLBL.csv,2025-07-07,2026-09-08,291
ABMINTLLTD,EQUITY,equity/ABMINTLLTD.csv,2023-10-23,2026-08-17,323
ABMKNO,EQUITY,equity/ABMKNO.csv,2026-04-20,2026-09-08,99
ABREL,EQUITY,equity/ABREL.csv,2024-10-10,2026-09-08,473
ABSL10BANK,EQUITY,equity/ABSL10BANK.csv,2026-03-04,2026-09-08,128
ABSLAMC,EQUITY,equity/ABSLAMC.csv,2023-09-11,2026-09-08,737
ABSLBANETF,EQUITY,equity/ABSLBANETF.csv,2023-09-11,2026-09-08,737
ABSLLIQUID,EQUITY,equity/ABSLLIQUID.csv,2023-09-11,2026-09-08,736
ABSLMSCIN,EQUITY,equity/ABSLMSCIN.csv,2026-02-20,2026-09-08,134
ABSLNN50ET,EQUITY,equity/ABSLNN50ET.csv,2023-09-11,2026-09-08,737
ABSLPSE,EQUITY,equity/ABSLPSE.csv,2024-05-23,2026-09-08,569
ACC,EQUITY,equity/ACC.csv,2023-09-11,2026-09-08,737
ACCELYA,EQUITY,equity/ACCELYA.csv,2023-09-11,2026-09-08,737
ACCURACY,EQUITY,equity/ACCURACY.csv,2023-11-06,2026-07-01,430
ACE,EQUITY,equity/ACE.csv,2023-09-11,2026-09-08,737
ACEINTEG,EQUITY,equity/ACEINTEG.csv,2023-10-03,2026-09-08,723
ACGL,EQUITY,equity/ACGL.csv,2026-08-17,2026-09-08,17
ACI,EQUITY,equity/ACI.csv,2023-09-11,2026-09-08,737
ACL,EQUITY,equity/ACL.csv,2023-10-03,2026-09-08,660
ACLGATI,EQUITY,equity/ACLGATI.csv,2023-11-30,2025-11-11,480
ACMESOLAR,EQUITY,equity/ACMESOLAR.csv,2024-11-13,2026-09-08,449
ACSTECH,EQUITY,equity/ACSTECH.csv,2026-04-20,2026-08-25,89
ACUTAAS,EQUITY,equity/ACUTAAS.csv,2025-06-02,2026-09-08,316
ADANIENSOL,EQUITY,equity/ADANIENSOL.csv,2023-09-11,2026-09-08,737
ADANIENT,EQUITY,equity/ADANIENT.csv,2023-09-11,2026-09-08,737
ADANIGREEN,EQUITY,equity/ADANIGREEN.csv,2023-09-11,2026-09-08,737
ADANIPORTS,EQUITY,equity/ADANIPORTS.csv,2023-09-11,2026-09-08,737
ADANIPOWER,EQUITY,equity/ADANIPOWER.csv,2023-09-11,2026-09-08,674
ADDIND,EQUITY,equity/ADDIND.csv,2026-08-18,2026-09-08,16
ADFFOODS,EQUITY,equity/ADFFOODS.csv,2023-09-11,2026-09-08,737
ADL,EQUITY,equity/ADL.csv,2024-03-11,2026-09-08,480
ADOR,EQUITY,equity/ADOR.csv,2025-04-11,2026-09-08,349
ADORWELD,EQUITY,equity/ADORWELD.csv,2023-09-11,2025-04-09,388
ADROITINFO,EQUITY,equity/ADROITINFO.csv,2023-09-11,2026-09-08,551
ADSL,EQUITY,equity/ADSL.csv,2023-09-11,2026-09-08,737
ADVAIT,EQUITY,equity/ADVAIT.csv,2026-01-20,2026-09-08,157
ADVANCE,EQUITY,equity/ADVANCE.csv,2025-10-24,2026-09-08,216
ADVANIHOTR,EQUITY,equity/ADVANIHOTR.csv,2023-09-11,2026-09-08,737
ADVENTHTL,EQUITY,equity/ADVENTHTL.csv,2025-11-27,2026-09-08,193
ADVENZYMES,EQUITY,equity/ADVENZYMES.csv,2023-09-11,2026-09-08,737
ADVIKCA,EQUITY,equity/ADVIKCA.csv,2026-08-17,2026-09-08,17
AEGISCHEM,EQUITY,equity/AEGISCHEM.csv,2023-09-11,2024-06-06,179
